Row,bijection_flag,feasible,infeasibility_flag,error_message
Alopias_vulpinus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alosa_pseudoharengus,6,0,,
Alosa_sapidissima,error,0,,"Integration interval contains NaN."
Amandava_subflava,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Amazona_aestiva,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Amazona_agilis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Amazona_amazonica,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Amazona_finschi,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ambiserrula_jugosa,6a,0,,
Amblema_plicata,6a,0,,
Amblygaster_sirm,98,0,,
Amblygobius_bynoensis,6a,0,,
Amblygobius_phalaena,6a,0,,
Amblyopsis_rosae,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Index in position 1 exceeds array bounds. Index must not exceed 2."
Amblyopsis_spelaea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Amblyraja_georgiana,error,0,,"Integration interval contains NaN."
Amblyraja_radiata,6a,0,,
Amblyramphus_holosericeus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ambystoma_maculatum,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Ambystoma_mexicanum,6,0,,
Ameiurus_catus,6a,0,,
Amia_calva,error,0,,"Matrix dimensions must agree."
Ammocrypta_pellucida,6a,0,,
Ammodramus_savannarum,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ammodytes_americanus,6a,0,,
Ammodytes_personatus,6a,0,,
Ammodytes_tobianus,error,0,,"Integration interval contains NaN."
Ammomanes_deserti,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ammospiza_caudacuta,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ammospiza_leconteii,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ammospiza_maritima,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Amphiprion_ocellaris,6a,0,,
Amphiuma_means,6,0,,
Amphiura_filiformis,timeout,0,,
Anabas_testudineus,6a,0,,
Anarhichas_denticulatus,98,0,,
Anarhichas_minor,error,0,,"Initial function value must be finite and real."
Anas_acuta,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anas_diazi,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anas_platyrhynchos,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anas_rubripes,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anas_sparsa,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anaxyrus_americanus,6,0,,
Anchoa_hepsetus,6a,0,,
Anchoa_mitchilli,error,0,,"Initial function value must be finite and real."
Anchoa_panamensis,6a,0,,
Anchoviella_guianensis,6a,0,,
Andrias_davidianus,8,0,,
Andrias_japonicus,8,0,,
Aneides_aeneus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Anodontostoma_chacunda,6a,0,,
Anolis_acutus,error,0,,"Arrays have incompatible sizes for this operation."
Anolis_carolinensis,6a,0,,
Anolis_gundlachi,8,0,,
Anolis_opalinus,6a,0,,
Anolis_sagrei,error,0,,"Arrays have incompatible sizes for this operation."
Anoplopoma_fimbria,6a,0,,
Anous_cerulea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anous_minutus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anous_stolidus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anous_tenuirostris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anoxypristis_cuspidata,6a,0,,
Anser_anser,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anser_caerulescens,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthobaphes_violacea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthracoceros_malayanus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthus_hellmayri,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthus_pratensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthus_rubescens,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthus_spinoletta,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anthus_spragueii,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Antigone_antigone,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Antigone_canadensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Antigone_rubicunda,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Antigone_vipio,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Antrostomus_vociferus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Anyperodon_leucogrammicus,6a,0,,
Apalone_spinifera,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Apeltes_quadracus,6a,0,,
Aphanius_fasciatus,8,0,,
Aphanius_iberus,6a,0,,
Aphanopus_carbo,6,0,,
Aphanopus_intermedius,6,0,,
Aphelocoma_coerulescens,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aphia_minuta,6a,0,,
Aphrastura_spinicauda,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aplodontia_rufa,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Apodemus_sylvaticus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aptenodytes_forsteri,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Apteryx_mantelli,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Apus_affinis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Apus_apus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Apus_pallidus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aquila_chrysaetos,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aquila_rapax,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aquila_spilogaster,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aquila_verreauxii,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ara_ararauna,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ara_glaucogularis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ara_macao,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Arapaima_gigas,error,0,,"Matrix dimensions must agree."
Archboldia_papuensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Archilochus_alexandri,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Archosargus_probatocephalus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Arcitalitrus_dorrieni,6a,0,,
Arctogadus_glacialis,6a,0,,
Ardea_alba,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardea_cinerea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardea_herodias,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardea_purpurea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardenna_carneipes,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardenna_gravis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardenna_grisea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardenna_pacifica,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardenna_tenuirostris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardeola_idae,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ardeotis_kori,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Arenaria_interpres,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Arenaria_melanocephala,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Argopecten_purpuratus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Argulus_coregoni,4,0,,
Argya_squamiceps,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Argyrosomus_japonicus,6a,0,,
Ariomma_indica,6a,0,,
Arion_subfuscus,6,0,,
Arremon_castaneiceps,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Arripis_georgianus,6a,0,,
Artemisiospiza_belli,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Artemisiospiza_nevadensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Ascidiella_aspersa,6a,0,,
Asellus_aquaticus,6,0,,
Asio_flammeus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Asio_otus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aspidophoroides_monopterygius,error,0,,"Initial function value must be finite and real."
Astacus_astacus,error,0,,"Index in position 1 exceeds array bounds. Index must not exceed 2."
Asterropteryx_semipunctata,6a,0,,
Astrapia_mayeri,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Astrochelys_yniphora,6a,0,,
Astyanax_bimaculatus,6a,0,,
Astyanax_eigenmanniorum,6a,0,,
Astyanax_mexicanus,6a,0,,
Athene_brama,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Athene_noctua,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Atheresthes_evermanni,error,0,,"Initial function value must be finite and real."
Atherina_presbyter,98,0,,
Atherinella_brasiliensis,6a,0,,
Atlantoraja_castelnaui,6,0,,
Atlapetes_latinuchus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Atlapetes_melanolaemus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Atlapetes_semirufus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Atrobucca_nibe,error,0,,"Initial function value must be finite and real."
Atropus_atropos,6a,0,,
Atule_mate,6a,0,,
Auchenoglanis_occidentalis,6a,0,,
Aulacorhynchus_prasinus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Auxis_rochei,6a,0,,
Auxis_thazard,6a,0,,
Aythya_affinis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aythya_americana,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aythya_fuligula,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aythya_valisineria,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Bagrus_bajad,6a,0,,
Baikaiobia_guttata,6,0,,
Balaena_mysticetus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Balaeniceps_rex,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Balaenoptera_acutorostrata,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Balaenoptera_borealis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Balaenoptera_edeni,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Balaenoptera_musculus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Balaenoptera_physalus,0,0,,
Barbronia_weberi,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Bartramia_longicauda,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Basileuterus_tristriatus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Basiliscus_basiliscus,6,0,,
Batagur_affinis,6,0,,
Bathyraja_abyssicola,error,0,,"Integration interval contains NaN."
Bathyraja_albomaculata,6a,0,,
Bathyraja_aleutica,6a,0,,
Bathyraja_brachyurops,6a,0,,
Bathyraja_griseocauda,error,0,,"Integration interval contains NaN."
Bathyraja_lindbergi,6a,0,,
Bathyraja_macloviana,6a,0,,
Bathyraja_maculata,error,0,,"Integration interval contains NaN."
Bathyraja_magellanica,error,0,,"Initial function value must be finite and real."
Bathyraja_minispinosa,6a,0,,
Bathyraja_parmifera,6a,0,,
Bathyraja_taranetzi,6a,0,,
Bellator_gymnostethus,6a,0,,
Belone_euxini,6a,0,,
Berardius_bairdii,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Beringraja_pulchra,6a,0,,
Beringraja_stellulata,6a,0,,
Bimastos_rubidus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Biomphalaria_glabrata,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Birgus_latro,6,0,,
Blepsias_cirrhosus,6a,0,,
Blicca_bjoerkna,timeout,0,,
Boa_constrictor,8,0,,
Boaedon_fuliginosus,error,0,,"Integration interval contains NaN."
Bolborhynchus_lineola,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Boleophthalmus_pectinirostris,6a,0,,
Bolitoglossa_mexicana,6a,0,,
Bolitoglossa_subpalmata,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Boltenia_echinata,6a,0,,
Bombina_bombina,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Bombina_maxima,6,0,,
Bombina_orientalis,6a,0,,
Bombina_variegata,6,0,,
Bombycilla_cedrorum,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Bonasa_umbellus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Boops_boops,6,0,,
Bos_primigenius_Angus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Bos_primigenius_Brahman,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Bos_primigenius_Holstein,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Bosminopsis_deitersi,4,0,,
Brachidontes_pharaonis,6,0,,
Brachionus_plicatilis,error,0,,"Arrays have incompatible sizes for this operation."
Brachymystax_lenok,6a,0,,
Brachyramphus_brevirostris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Brachyramphus_marmoratus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branchinecta_lindahli,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branchinella_thailandensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branchiostoma_floridae,9,0,,
Branchipus_schaefferi,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branchiura_sowerbyi,6,0,,
Branchotenthes_octohamatus,error,0,,"Index in position 1 exceeds array bounds. Index must not exceed 2."
Branta_bernicla,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branta_canadensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branta_hutchinsii,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branta_leucopsis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Branta_sandvicensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Brevoortia_patronus,6a,0,,
Brevoortia_tyrannus,6a,0,,
Brycinus_leuciscus,6a,0,,
Brycinus_macrolepidotus,6a,0,,
Brycinus_nurse,6a,0,,
