species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,d_V,Ri,T_typical,t_0,model,metamorphosis,weaning,foetus
Arion_subfuscus,1.852346e+02,9.814300e-01,2.802200e-02,4.659731e+02,3.916048e+03,5.021000e-06,1.009000e+00,1.206000e+02,,1.209000e+02,Arionidae,Pulmonata,Gastropoda,Mollusca,BSk Cfb Dfb Dfc,THp,0iTf,Tnt,,biD biH,Hh,O,6.743768e+01,,,,3.355828e+02,5.860656e+02,,,,,2.681451e+02,2.000000e-02,,,2.300000e+00,1.080000e+01,,,,,,1.500000e-01,1.023776e-01,2.911500e+02,2.494900e+00,abj,True,False,False
Asellus_aquaticus,8.807004e+01,9.089200e-01,9.754100e-03,5.275728e+02,4.432120e+03,4.969000e-07,2.099000e-02,7.947000e-02,,5.152000e-01,Asellidae,Isopoda,Malacostraca,Arthropoda,Cfb Dfb Dfc,TH,0iFp 0iFl 0iFm 0iFc,Fbf,,biD,D,O,1.720602e+01,,,,6.208892e+01,1.122072e+03,,,,,4.488289e+01,5.000000e-04,,,3.000000e-03,4.500000e-02,8.000000e-02,,,3.000000e-01,1.000000e+00,1.700000e-01,1.138630e+00,2.881500e+02,2.943600e+00,abj,True,False,False
Atherina_presbyter,1.214038e+02,6.546000e-01,2.951000e-02,3.583000e+01,5.185000e+03,5.235000e-07,3.468000e+00,1.127000e+01,,4.162000e+03,Atherinidae,Atheriniformes,Actinopterygii,Chordata,MB MC,MAE,0iMcp,Fc Fh,Mo,biCi,D,O,4.174714e+01,,,,5.075802e+02,3.924371e+03,,,,,,2.200000e-03,,,2.260000e+00,7.040000e+01,6.960000e-01,,,6.800000e+00,2.100000e+01,2.000000e-01,8.791218e+00,2.851500e+02,,abj,True,False,False
Baikaiobia_guttata,7.953393e+01,9.938500e-01,1.735300e-02,3.503293e+02,1.828986e+03,6.374000e-06,4.922000e-03,4.199000e-02,,3.149000e-01,Dugesiidae,Tricladida,Turbellaria,Platyhelminthes,Dwc,THp,0iFl,Fs,,biD,Hh,Ob,1.738456e+02,,,,5.286325e+02,2.589945e+03,,,,,3.547869e+02,9.400000e-04,,,3.600000e-02,2.800000e-01,3.000000e-01,,,1.000000e+00,2.000000e+00,7.000000e-02,3.088869e-03,2.931500e+02,,abj,True,False,False
Betta_splendens,3.456954e+01,9.997400e-01,7.418600e-02,4.417700e+01,5.217332e+03,1.034000e-10,6.436000e-04,1.929000e-01,,2.157000e+01,Osphronemidae,Anabantiformes,Actinopterygii,Chordata,Am,TPi,0iFr 0iFl 0iFp,Fc Fh,Mp,biCi piCvf,D,O,1.210874e+00,,,,6.030151e+01,1.767876e+03,,,,,5.909064e+01,5.200000e-04,,,6.000000e-01,4.700000e+00,,,,4.000000e+00,8.000000e+00,2.000000e-01,2.206038e+00,3.011500e+02,,abj,True,False,False
Biomphalaria_glabrata,1.848408e+02,5.410000e-01,2.103000e-02,8.688000e+02,3.950000e+03,5.001000e-07,4.955000e-01,3.633000e+02,,1.060000e+03,Planorbidae,Pulmonata,Gastropoda,Mollusca,A,TN,0iFl 0iFp 0iFm,Fs,,biHa biHl,Hh,O,1.300000e+01,,4.200000e+01,,5.020000e+01,3.600000e+02,,,2.900000e+01,,3.720000e+01,3.879400e-04,1.400000e-01,,4.400000e-01,2.350000e+00,9.600000e-02,,,1.000000e+00,1.750000e+00,1.500000e-01,1.370000e+02,2.931500e+02,5.021000e+00,abj,True,False,False
Birgus_latro,1.350696e+01,7.625300e-01,1.161800e-02,2.025500e+00,4.400000e+03,2.574000e-15,4.698000e-01,2.958000e+00,,1.567000e+05,Coenobitidae,Decapoda,Malacostraca,Arthropoda,A,TPi MPE,0bTf bjMp jiTf,Tbf,,bjP jiHs,D,O,2.123730e+01,,5.840257e+01,,9.869746e+02,1.931475e+04,,,3.716527e+01,,9.657373e+02,4.100000e-04,,,1.180000e+02,1.000000e+03,,,,2.450000e+00,5.000000e+00,1.700000e-01,7.144800e+02,2.831500e+02,,abj,True,False,False
Blicca_bjoerkna,7.938162e+01,9.752500e-01,8.184300e-02,8.070400e+00,5.237838e+03,1.769000e-08,3.925000e-01,3.928000e-01,,1.181000e+04,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFl 0iFr 0iFm,Fh,Mp,biCi,D,O,7.500000e+00,3.000000e+00,,,1.988658e+03,4.402573e+03,,,,,1.981158e+03,3.800000e-03,,,3.689434e+01,5.764741e+02,7.500000e-01,,,1.600000e+01,4.000000e+01,2.000000e-01,2.271399e+02,2.911500e+02,,abj,True,False,False
Boops_boops,2.975525e+02,7.885400e-01,6.279000e-02,4.939830e+01,5.221437e+03,2.236000e-08,3.018000e-01,3.021000e-01,,5.848000e+04,Sparidae,Spariformes,Actinopterygii,Chordata,MB MC,MAE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsf,O,4.824738e+00,,,,6.561643e+02,3.522059e+03,,,,,6.513396e+02,5.240000e-04,,,4.450000e+01,2.160000e+02,2.600000e-01,,,1.700000e+01,2.842000e+01,2.000000e-01,3.564961e+02,2.911500e+02,,abj,True,False,False
Brachidontes_pharaonis,8.202124e+00,9.830000e-01,1.868000e-02,1.424000e+01,2.478000e+03,4.156000e-08,3.938000e-06,3.310000e-05,,2.163000e+00,Mytilidae,Mytiloida,Bivalvia,Mollusca,MA MB,MI MIr MAm,0jMp jiMb,Mp,,biPp,D,O,1.100000e+00,,1.476495e+01,,1.831000e+02,1.460000e+03,,,1.366495e+01,,1.820000e+02,2.053401e-08,5.731051e-07,,8.400000e-02,1.545600e+00,9.000000e-03,2.730000e-02,,7.500000e-01,3.800000e+00,9.000000e-02,1.208408e+03,2.931500e+02,,abj,True,False,False
Branchinecta_lindahli,2.866187e+02,9.339300e-01,3.630100e-02,7.329932e+03,4.435561e+03,2.077000e-04,1.604000e-03,4.041000e-01,,3.167000e+00,Branchinectidae,Anostraca,Branchiopoda,Arthropoda,B C,THn,0iFpe,Fbf,,biPp biD,D,Apf,7.291188e-01,,,,7.564607e+00,2.278496e+01,,,,,6.835489e+00,9.200000e-06,,,1.047938e-01,2.176471e-02,4.000000e-02,,,9.000000e-01,1.300000e+00,1.700000e-01,1.097215e+02,2.941500e+02,,abj,True,False,False
Branchinella_thailandensis,3.450261e+02,9.977000e-01,3.234300e-02,8.282586e+03,4.460971e+03,1.237000e-04,3.538000e-06,3.524000e-03,,2.306000e+00,Thamnocephalidae,Anostraca,Branchiopoda,Arthropoda,A B,TPi,0iFpe,Fbf,,biPp biD,D,Apf,1.898303e+00,,,,6.011293e+00,1.423727e+01,,,,,4.112990e+00,6.395721e-07,,,7.994652e-02,2.147059e-01,4.000000e-02,,,2.000000e+00,2.780000e+00,1.700000e-01,6.286865e+02,2.981500e+02,2.600800e+00,abj,True,False,False
Branchiostoma_floridae,6.232006e+00,8.286000e-01,1.170000e-02,2.608000e+01,1.565000e+03,3.967000e-10,2.335000e-03,9.704000e-02,,8.591000e+00,Branchiostomidae,Amphioxiformes,Leptocardii,Chordata,MA,MAW,0jMp jiMb,Mp,,biP,D,O,9.097310e-01,,,,1.528348e+01,7.305140e+02,,,,,,7.221500e-05,3.168700e-04,,2.630000e-02,4.218000e-01,3.000000e-01,5.000000e-01,,2.300000e+00,6.000000e+00,6.000000e-02,6.870163e+02,3.036500e+02,,abj,True,False,False
Branchipus_schaefferi,1.309715e+02,9.141600e-01,2.103200e-02,1.614468e+03,4.445494e+03,3.005000e-06,4.927000e-03,4.960000e-01,,1.270000e+01,Branchipodidae,Anostraca,Branchiopoda,Arthropoda,A B,THp TPi TA,0iFpe,Fbf,,biPp biD,D,Apf,8.985301e-01,,,,7.226207e+00,4.429374e+01,,,,,6.327677e+00,1.520875e-05,,,1.728000e-02,8.000000e-02,1.150000e-01,,,1.200000e+00,2.000000e+00,1.700000e-01,1.553482e+02,2.981500e+02,0.000000e+00,abj,True,False,False
Branchotenthes_octohamatus,1.207592e-01,9.947400e-01,4.010900e-04,2.129670e+01,1.827926e+03,4.475000e-09,1.922000e-07,3.481000e-03,,2.693000e-02,Hexabothriidae,Diclybothriidea,Monogenea,Platyhelminthes,MA,MPSW,0iMd,Mc,,biTvf,Hh,O,2.467604e+00,,,,9.428611e+00,1.396026e+01,,,,,6.961007e+00,2.300000e-13,,,1.300000e-03,2.600000e-03,1.400000e-02,,,5.370000e-01,6.627000e-01,7.000000e-02,3.581595e+02,2.931500e+02,,abj,True,False,False
Caenorhabditis_elegans,1.750133e+01,8.500000e-01,8.930000e-02,2.652000e+03,1.811000e+03,2.171000e-04,5.606000e-06,2.810000e-04,,9.903000e-04,Rhabditidae,Rhabditida,Secernentea,Nematoda,A B C D,TH TN TP TA,0iT,Ts,,biB biD,Hsmm,O,4.583333e-01,,,,3.166667e+00,2.100000e+01,,,,,2.708333e+00,2.400000e-08,,,1.800000e-06,4.300000e-06,2.500000e-02,,,1.060000e-01,1.400000e-01,7.000000e-02,2.180000e+02,2.931500e+02,,abj,True,False,False
Cancer_pagurus,1.609452e+01,9.454800e-01,1.996900e-02,6.354470e+01,4.437405e+03,3.377000e-11,1.419000e-02,2.794000e+03,,1.446000e+05,Cancridae,Decapoda,Malacostraca,Arthropoda,MC,MANE,0bMb bjMp jiMb,Mbf,,bjP biD jiCi jiS,D,O,9.589244e+02,,1.490398e+03,,3.415719e+03,1.169902e+05,,,5.314732e+02,,2.456795e+03,3.300000e-05,,,4.520000e+02,3.100000e+03,,,,1.270000e+01,2.420000e+01,1.700000e-01,2.564317e+03,2.811500e+02,2.095400e+02,abj,True,False,False
Cepaea_nemoralis,1.455591e+01,8.280200e-01,3.411800e-02,2.490770e+01,3.916686e+03,4.252000e-09,2.223000e+00,4.753000e+01,,1.229000e+02,Helicidae,Pulmonata,Gastropoda,Mollusca,Cfb Dfb,THp,0iTf,Thl,,biHl,Hh,O,2.412369e+01,,,,4.643810e+02,3.522059e+03,,,,,4.402573e+02,2.304000e-03,,,,1.333333e+00,3.000000e-01,,,,2.500000e+00,1.500000e-01,1.817119e-01,2.946500e+02,0.000000e+00,abj,True,False,False
Cerastoderma_edule,1.419325e+01,9.689000e-01,9.151600e-03,1.833310e+01,2.353289e+03,3.170100e-08,9.470000e-06,1.285000e-04,,7.054900e+00,Cardiidae,Cardiida,Bivalvia,Mollusca,MB MC,MAE,0jMp jiMb jiMi,Mp,,biPp,D,O,4.373967e+00,,,,4.689196e+02,1.192109e+04,,,,,4.645456e+02,2.700000e-07,,,1.088889e-01,1.000000e+01,1.500000e-02,,,1.200000e+00,5.000000e+00,9.000000e-02,3.405372e+03,2.861500e+02,,abj,True,False,False
Chaenocephalus_aceratus,1.068416e+03,2.800800e-01,1.129400e-01,1.486104e+02,5.221554e+03,1.071000e-07,1.567000e+02,8.292000e+03,,1.030000e+07,Channichthyidae,Perciformes,Actinopterygii,Chordata,EF,MS,0bMcd bjMp jiMcd,Ms,,bjPz jiCi,D,O,4.928058e+02,,,,1.997917e+04,5.995803e+04,,,,,1.948636e+04,4.500000e-02,1.341564e+00,,6.340000e+02,9.780000e+02,,8.000000e+00,,6.150000e+01,7.200000e+01,2.000000e-01,7.547279e+00,2.721500e+02,,abj,True,False,False
Chanos_chanos,7.724968e+02,7.455000e-01,4.969000e-02,3.923000e+01,5.200000e+03,6.052000e-10,5.095000e-01,7.199000e-01,,3.539000e+06,Chanidae,Gonorynchiformes,Actinopterygii,Chordata,MA,MIE MPW TPi,0iMm 0iFm 0iFe,Mpe,Ma,bjCi bjPz jiB,D,O,2.874055e+00,6.561348e-01,9.084232e+00,,4.857246e+02,2.428623e+03,,,,,,3.561978e-04,,,4.500000e+03,1.400000e+04,5.000000e-01,,,6.500000e+01,1.700000e+02,2.000000e-01,2.161719e+04,3.021500e+02,,abj,True,False,False
Chasmistes_brevirostris,3.489704e+03,8.600500e-01,1.859200e-02,7.000000e+02,5.219022e+03,1.730000e-09,9.506000e-02,9.507000e-02,,1.083000e+06,Catostomidae,Cypriniformes,Actinopterygii,Chordata,Csb Dsa,THn,0iFm 0iFl,Fh,,biCi,D,O,2.729324e+01,,,,4.296735e+03,3.130924e+04,,,,,4.269442e+03,4.200000e-03,,,1.187462e+03,3.096000e+03,,,,4.650000e+01,6.400000e+01,2.000000e-01,1.018868e+02,2.861500e+02,,abj,True,False,False
Chasmistes_cujus,2.491876e+02,8.032500e-01,5.829900e-02,2.198690e+01,5.226306e+03,1.205000e-09,2.802000e+00,6.719000e+00,,8.554000e+05,Catostomidae,Cypriniformes,Actinopterygii,Chordata,Dsa,THn,0iFm 0iFr,Fh,,biCi,D,O,1.750390e+01,,,,4.286946e+03,3.130924e+04,,,,,4.269442e+03,4.200000e-03,,,1.023914e+03,3.493000e+03,,,,4.650000e+01,7.000000e+01,2.000000e-01,8.432015e+01,2.861500e+02,,abj,True,False,False
Chasmistes_liorus,4.019026e+03,8.880400e-01,2.709900e-02,7.406216e+02,5.231538e+03,1.362000e-09,9.454000e-02,9.455000e-02,,2.069000e+06,Catostomidae,Cypriniformes,Actinopterygii,Chordata,Dsa,THn,0iFm 0iFr,Fh,,biCi,D,O,1.754565e+01,,,,4.286988e+03,3.130924e+04,,,,,4.269442e+03,4.200000e-03,,,1.189768e+03,3.559000e+03,,,,4.650000e+01,6.700000e+01,2.000000e-01,8.432015e+01,2.861500e+02,,abj,True,False,False
Chionoecetes_opilio,3.306495e+01,7.017100e-01,1.971400e-02,1.455310e+01,4.400000e+03,8.561000e-08,2.437000e-01,1.935000e+01,,1.005000e+04,Oregoniidae,Decapoda,Malacostraca,Arthropoda,MC ME,MAN MPN MN,0bMb bjMp jiMb,Mbf,,bjP biD jiCi jiS,D,O,1.590134e+03,,2.078929e+03,,7.950670e+03,3.021255e+04,,,4.887948e+02,,6.360536e+03,1.800000e-04,1.600000e-02,,,4.294000e+02,,3.190000e-01,,,9.500000e+00,1.700000e-01,9.433167e+01,2.781500e+02,3.169690e+02,abj,True,False,False
Chirocentrus_dorab,1.756044e+02,9.742300e-01,2.753400e-02,3.191000e+01,5.217208e+03,1.372000e-09,6.637000e-03,2.037000e-02,,5.949000e+03,Chirocentridae,Clupeiformes,Actinopterygii,Chordata,MA,MIE MPW,0iMpe,Mpe,Ma,biPz jiCvf,D,O,9.026620e-01,,,,1.721295e+02,2.677883e+03,,,,,,3.773184e-04,,,1.429146e+02,1.200000e+03,6.800000e-01,,,4.920000e+01,1.000000e+02,2.000000e-01,2.925759e+02,2.981500e+02,,abj,True,False,False
Chirocentrus_nudus,2.183158e+02,9.742300e-01,2.797600e-02,3.926050e+01,5.226565e+03,1.417000e-09,7.214000e-03,1.936000e-02,,4.136000e+03,Chirocentridae,Clupeiformes,Actinopterygii,Chordata,MA,MIE MPW,0iMpe,Mpe,Ma,biPz jiCvf,D,O,9.026620e-01,,,,1.377036e+02,2.677883e+03,,,,,,3.773184e-04,,,9.809580e+01,1.200000e+03,6.800000e-01,,,4.340000e+01,1.000000e+02,2.000000e-01,2.925759e+02,2.981500e+02,,abj,True,False,False
Chromis_chromis,4.383932e+01,8.885900e-01,3.527500e-02,3.054350e+01,5.204230e+03,6.876000e-09,4.375000e-02,7.261000e-01,,6.676000e+03,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MB,MAE,0iMc 0iMr,Mnm,,biCi,D,O,4.405199e+00,,1.496105e+01,,6.067538e+02,3.285000e+03,,,,,,3.490206e-04,4.908527e-03,,7.850000e+00,2.292000e+01,2.900000e-01,7.000000e-01,,5.280000e+00,1.170000e+01,2.000000e-01,2.000000e+02,2.951500e+02,,abj,True,False,False
