Row,data_split,feasible,infeasibility_flag,error_message
Ammodytes_personatus,val,1,0,
Amphiprion_ocellaris,val,1,0,
Amphiuma_means,train,1,0,
Anabas_testudineus,train,1,0,
Anarhichas_denticulatus,train,0,5,
Anaxyrus_americanus,train,1,0,
Anchoa_hepsetus,train,1,0,
Anchoa_panamensis,val,1,0,
Anchoviella_guianensis,train,1,0,
Andrias_davidianus,val,1,0,
Andrias_japonicus,train,1,0,
Anodontostoma_chacunda,train,0,1,
Anolis_carolinensis,train,1,0,
Anolis_gundlachi,test,1,0,
Anolis_opalinus,train,0,1,
Anoplopoma_fimbria,train,0,1,
Anoxypristis_cuspidata,train,1,0,
Anyperodon_leucogrammicus,train,1,0,
Apeltes_quadracus,test,1,0,
Aphanius_fasciatus,val,1,0,
Aphanius_iberus,train,1,0,
Aphanopus_carbo,train,1,0,
Aphanopus_intermedius,train,0,timeout,
Aphia_minuta,train,1,0,
Arapaima_gigas,train,0,error,Matrix dimensions must agree.
Arcitalitrus_dorrieni,train,1,0,
Arctogadus_glacialis,train,1,0,
Argulus_coregoni,train,1,0,
Argyrosomus_japonicus,train,1,0,
Ariomma_indica,val,1,0,
Arion_subfuscus,test,1,0,
Arripis_georgianus,train,0,1,
Ascidiella_aspersa,val,1,0,
Asellus_aquaticus,train,1,0,
Asterropteryx_semipunctata,train,1,0,
Astrochelys_yniphora,train,1,0,
Astyanax_bimaculatus,test,1,0,
Astyanax_eigenmanniorum,train,1,0,
Astyanax_mexicanus,train,1,0,
Atherina_presbyter,train,1,0,
Atherinella_brasiliensis,train,1,0,
Atlantoraja_castelnaui,train,0,5,
Atropus_atropos,train,1,0,
Atule_mate,test,1,0,
Auchenoglanis_occidentalis,val,1,0,
Auxis_rochei,train,1,0,
Auxis_thazard,test,1,0,
Bagrus_bajad,train,1,0,
Baikaiobia_guttata,train,1,0,
Balaenoptera_physalus,train,1,0,
Basiliscus_basiliscus,val,1,0,
Batagur_affinis,test,1,0,
Bathyraja_albomaculata,train,1,0,
Bathyraja_aleutica,train,1,0,
Bathyraja_brachyurops,train,0,5,
Bathyraja_lindbergi,train,1,0,
Bathyraja_macloviana,test,0,5,
Bathyraja_minispinosa,val,1,0,
Bathyraja_parmifera,test,1,0,
Bathyraja_taranetzi,test,1,0,
Bellator_gymnostethus,train,1,0,
Belone_euxini,val,1,0,
Beringraja_pulchra,train,1,0,
Beringraja_stellulata,val,1,0,
Birgus_latro,train,1,0,
Blepsias_cirrhosus,train,1,0,
Boa_constrictor,val,0,1,
Boleophthalmus_pectinirostris,train,1,0,
Bolitoglossa_mexicana,train,1,0,
Boltenia_echinata,train,1,0,
Bombina_maxima,train,1,0,
Bombina_orientalis,val,1,0,
Bombina_variegata,test,1,0,
Boops_boops,val,1,0,
Bosminopsis_deitersi,train,1,0,
Brachidontes_pharaonis,train,1,0,
Brachymystax_lenok,val,1,0,
Branchiostoma_floridae,test,0,1,
Branchiura_sowerbyi,train,1,0,
Brevoortia_patronus,train,1,0,
Brevoortia_tyrannus,val,1,0,
Brycinus_leuciscus,test,1,0,
Brycinus_macrolepidotus,train,1,0,
Brycinus_nurse,train,1,0,
Brycinus_sadleri,train,1,0,
Brycon_amazonicus,train,1,0,
Brycon_melanopterus,train,0,1,
Brycon_moorei,test,1,0,
Brycon_opalinus,val,1,0,
Bufo_japonicus,train,1,0,
Caiman_latirostris,train,1,0,
Callisaurus_draconoides,train,0,1,
Callista_chione,val,1,0,
Callorhinchus_capensis,train,0,error,Matrix dimensions must agree.
Callorhinchus_milii,train,1,0,
Cancer_pagurus,val,1,0,
Caranx_crysos,train,1,0,
Caranx_hippos,train,1,0,
Caranx_ignobilis,test,1,0,
Caranx_lugubris,train,1,0,
Caranx_melampygus,train,1,0,
Caranx_senegallus,train,1,0,
Caranx_tille,train,1,0,
Carassius_auratus,val,1,0,
Carcharhinus_coatesi,train,1,0,
Carcharodon_carcharias,train,1,0,
Careproctus_reinhardti,train,1,0,
Caretta_caretta,train,1,0,
Carinascincus_ocellatus,train,1,0,
Centropomus_parallelus,train,1,0,
Centropristis_striata,train,1,0,
Centropyge_bicolor,train,1,0,
Centropyge_loriculus,test,1,0,
Centroscymnus_coelolepis,train,1,0,
Centroscymnus_crepidater,train,1,0,
Centroscymnus_owstonii,train,1,0,
Centroscymnus_plunketi,train,1,0,
Cephalopholis_argus,val,1,0,
Cephalopholis_cruentata,train,1,0,
Cephalopholis_fulva,train,1,0,
Cephalopholis_microprion,test,1,0,
Cephalopholis_miniata,train,1,0,
Cephaloscyllium_isabellum,train,1,0,
Cervus_canadensis,train,1,0,
Cetengraulis_edentulus,train,1,0,
Cetengraulis_mysticetus,train,1,0,
Chaenodraco_wilsoni,train,1,0,
Chamelea_gallina,test,1,0,
Channa_argus,train,1,0,
Channa_punctata,train,1,0,
Chasmistes_brevirostris,train,1,0,
Chasmistes_cujus,train,1,0,
Chasmistes_liorus,train,1,0,
Cheilopogon_cyanopterus,train,1,0,
Chelodina_oblonga,train,1,0,
Chelus_fimbriata,train,1,0,
Chioninia_coctei,train,1,0,
Chionobathyscus_dewitti,train,0,1,
Chionodraco_hamatus,train,0,1,
Chionodraco_myersi,train,0,1,
Chionodraco_rastrospinosus,train,0,1,
Chirocentrus_dorab,train,1,0,
Chirocentrus_nudus,train,1,0,
Chiromantis_petersii,train,1,0,
Chiromantis_rufescens,train,1,0,
Chloroscombrus_chrysurus,train,1,0,
Chologaster_cornuta,train,1,0,
Chorismus_antarcticus,test,1,0,
Chriodorus_atherinoides,train,1,0,
Chromis_ternatensis,train,1,0,
Chromis_verater,train,1,0,
Chrosomus_neogaeus,train,1,0,
Chrysichthys_auratus,test,1,0,
Chrysichthys_nigrodigitatus,train,1,0,
Chrysichthys_walkeri,train,1,0,
Chrysiptera_biocellata,train,1,0,
Chydorus_pubescens,train,1,0,
Cichla_intermedia,train,1,0,
Cichla_monoculus,train,1,0,
Cichla_orinocensis,test,1,0,
Cichla_temensis,test,1,0,
Citharinus_citharus,val,1,0,
Clarias_agboyiensis,val,1,0,
Clarias_anguillaris,train,1,0,
Clarias_batrachus,train,1,0,
Claudius_angustatus,train,1,0,
Cleisthenes_pinetorum,train,1,0,
Clione_limacina,test,1,0,
Clupea_bentincki,train,1,0,
Clupea_harengus,test,1,0,
Clupea_pallasii,train,0,1,
Coilia_brachygnathus,val,1,0,
Coilia_dussumieri,train,1,0,
Coilia_mystus,train,1,0,
Coilia_nasus,test,1,0,
Coilia_ramcarati,train,1,0,
Coleonyx_variegatus,train,1,0,
Cololabis_saira,train,1,0,
Coluber_constrictor,train,1,0,
Coptodon_guineensis,train,1,0,
Coptodon_rendalli,train,1,0,
Coregonus_kiyi,train,0,1,
Coregonus_muksun,train,1,0,
Coreobagrus_ichikawai,train,1,0,
Coronatella_rectangula,train,1,0,
Corydoras_aeneus,train,1,0,
Coryphaena_hippurus,train,1,0,
Crenichthys_baileyi,train,1,0,
Crinia_georgiana,train,1,0,
Crocodylus_johnsoni,train,1,0,
Crocodylus_moreletii,test,1,0,
Crocodylus_porosus,train,1,0,
Crotalus_lepidus,train,1,0,
Crotalus_oreganus,val,1,0,
Crotalus_pricei,train,1,0,
Cryodraco_antarcticus,train,0,1,
Cryptobranchus_alleganiensis,train,1,0,
Ctenophorus_adelaidensis,train,1,0,
Ctenophorus_ornatus,train,1,0,
Culaea_inconstans,train,1,0,
Cuora_flavomarginata,train,1,0,
Curimata_knerii,train,1,0,
Cuthona_nana,train,1,0,
Cyclonaias_asperata,train,1,0,
Cyclopsetta_chittendeni,train,1,0,
Cyclopsetta_querna,train,1,0,
Cyclopterus_lumpus,train,1,0,
Cynoglossus_canariensis,test,1,0,
Cynoglossus_joyneri,train,1,0,
Cynoglossus_puncticeps,train,1,0,
Cynoglossus_semifasciatus,train,1,0,
Cynoglossus_senegalensis,train,1,0,
Cynops_pyrrhogaster,train,1,0,
Cynoscion_leiarchus,val,1,0,
Cynoscion_regalis,train,1,0,
Cyphomyrus_discorhynchus,test,1,0,
Cyprinodon_bovinus,val,1,0,
Cyprinodon_elegans,train,1,0,
Cyprinodon_macularius,train,1,0,
Dalatias_licha,val,1,0,
Danio_rerio,test,0,1,
Daphnia_longispina,train,1,0,
Daphnia_obtusa,test,1,0,
Daphnia_pulex,train,1,0,
Dascyllus_albisella,train,1,0,
Dascyllus_aruanus,train,1,0,
Dascyllus_reticulatus,train,1,0,
Dasyatis_chrysonota,train,1,0,
Deania_calceus,train,1,0,
Decapterus_kurroides,train,1,0,
Decapterus_macarellus,train,1,0,
Decapterus_macrosoma,train,1,0,
Decapterus_maruadsi,test,1,0,
Decapterus_punctatus,test,1,0,
Decapterus_russelli,val,1,0,
Decapterus_tabl,train,1,0,
Deirochelys_reticularia,train,1,0,
Deltentosteus_quadrimaculatus,test,1,0,
Dendrochirus_brachypterus,val,1,0,
Dentex_congoensis,train,1,0,
Dentiraja_polyommata,test,1,0,
Dermochelys_coriacea,val,1,0,
Desmognathus_brimleyorum,train,1,0,
Deveximentum_ruconius,train,1,0,
Dicologlossa_cuneata,train,1,0,
Dilatata_dilatata,val,1,0,
Dinarolacerta_mosorensis,train,1,0,
Diplectrum_formosum,train,1,0,
Diplectrum_macropoma,train,1,0,
Diplectrum_pacificum,train,1,0,
Diplodus_annularis,train,1,0,
Diplodus_cervinus,train,1,0,
Diplodus_sargus,train,1,0,
Diplodus_vulgaris,train,1,0,
Dipsosaurus_dorsalis,train,1,0,
Dipturus_batis,test,1,0,
Dipturus_innominatus,train,1,0,
Dipturus_kwangtungensis,train,1,0,
Dipturus_laevis,train,1,0,
Dipturus_pullopunctatus,train,1,0,
Donax_trunculus,test,1,0,
Dorosoma_cepedianum,train,1,0,
Dosinia_exoleta,test,1,0,
Dussumieria_acuta,train,1,0,
Dussumieria_hasseltii,train,1,0,
Dyscophus_antongilii,test,1,0,
Egernia_striolata,train,1,0,
Elagatis_bipinnulata,train,1,0,
Elassoma_zonatum,train,1,0,
Eleutherodactylus_coqui,train,1,0,
Elliptio_arca,train,1,0,
Elliptio_complanata,val,1,0,
Elseya_albagula,train,1,0,
Elseya_dentata,train,1,0,
Elusor_macrurus,val,1,0,
Emmelichthys_nitidus,train,1,0,
Emydocephalus_ijimae,val,1,0,
Emydura_macquarii,test,1,0,
Emys_orbicularis,train,1,0,
Encrasicholina_devisi,train,1,0,
Encrasicholina_heteroloba,val,1,0,
Encrasicholina_punctifer,val,1,0,
Encrasicholina_purpurea,train,1,0,
Engraulicypris_sardella,train,0,1,
Engraulis_anchoita,train,1,0,
Engraulis_australis,train,0,1,
Engraulis_capensis,val,0,1,
Engraulis_japonicus,train,1,0,
Engraulis_mordax,train,0,1,
Engraulis_ringens,val,1,0,
Enteromius_liberiensis,train,1,0,
Entosphenus_tridentatus,test,1,0,
Eopsetta_jordani,train,0,1,
Epidalea_calamita,train,1,0,
Epinephelus_coioides,train,1,0,
Epinephelus_cyanopodus,test,1,0,
Epinephelus_drummondhayi,test,1,0,
Epinephelus_fuscoguttatus,train,1,0,
Epinephelus_howlandi,train,1,0,
Epinephelus_itajara,train,1,0,
Epinephelus_labriformis,train,1,0,
Epinephelus_maculatus,train,1,0,
Epinephelus_malabaricus,val,1,0,
Epinephelus_polyphekadion,train,0,timeout,
Epinephelus_quoyanus,train,1,0,
Equulites_elongatus,train,1,0,
Equulites_leuciscus,train,1,0,
Equulites_lineolatus,train,1,0,
Eremophilus_mutisii,train,1,0,
Eretmochelys_imbricata,train,1,0,
Erpetoichthys_calabaricus,train,1,0,
Escualosa_thoracata,train,1,0,
Esox_lucius,val,1,0,
Esox_niger,train,1,0,
Etheostoma_perlongum,train,1,0,
Etheostoma_pyrrhogaster,train,1,0,
Etheostoma_tetrazonum,val,1,0,
Etheostoma_trisella,train,1,0,
Etmopterus_baxteri,train,1,0,
Etropus_crossotus,val,1,0,
Eubleekeria_splendens,train,1,0,
Eucinostomus_argenteus,val,1,0,
Eucinostomus_gula,test,1,0,
Eulamprus_quoyii,train,1,0,
Eunectes_murinus,val,1,0,
Eunectes_notaeus,train,1,0,
Euprymna_hyllebergi,train,1,0,
Eurycea_lucifuga,val,1,0,
Eurycea_quadridigitata,train,1,0,
Eurycea_tonkawae,train,1,0,
Euthynnus_affinis,train,1,0,
Euthynnus_alletteratus,train,1,0,
Evynnis_ehrenbergii,train,1,0,
Evynnis_tumifrons,train,1,0,
Excirolana_armata,train,1,0,
Faustina_faustina,train,1,0,
Flavocaranx_bajad,train,1,0,
Forbesichthys_agassizii,train,1,0,
Fundulus_heteroclitus,train,1,0,
Fundulus_luciae,train,1,0,
Furcifer_labordi,val,1,0,
Furcifer_pardalis,train,1,0,
Furgaleus_macki,val,1,0,
Fusconaia_cuneolus,train,1,0,
Gadus_chalcogrammus,test,1,0,
Gadus_macrocephalus,train,0,1,
Galatea_paradoxa,train,1,0,
Galeus_melastomus,val,1,0,
Gallotia_bravoana,val,1,0,
Gallotia_intermedia,train,1,0,
Gallotia_simonyi,train,1,0,
Gallotia_stehlini,train,1,0,
Gambelia_sila,test,1,0,
Gambusia_affinis,train,1,0,
Gambusia_holbrooki,train,1,0,
Gammarus_pulex,val,1,0,
Gasterosteus_aculeatus,train,1,0,
Gavialis_gangeticus,train,1,0,
Gazza_minuta,test,1,0,
Gerlachea_australis,train,0,1,
Gerrhosaurus_validus,train,1,0,
Gila_intermedia,test,1,0,
Girardinus_metallicus,test,1,0,
Glaniopsis_hanitschi,val,1,0,
Glaucostegus_cemiculus,train,1,0,
Glossogobius_giuris,train,1,0,
Gloydius_blomhoffii,train,1,0,
Glyptemys_muhlenbergii,val,1,0,
Glyptocephalus_kitaharae,train,1,0,
Glyptocephalus_stelleri,val,1,0,
Gnathanodon_speciosus,train,1,0,
Gobionellus_microdon,train,1,0,
Gobionotothen_gibberifrons,train,0,1,
Gobiosoma_bosc,val,1,0,
Gobius_ophiocephalus,test,1,0,
Gobius_vittatus,val,1,0,
Goniurosaurus_kuroiwae,val,1,0,
Gopherus_morafkai,train,1,0,
Gopherus_polyphemus,val,1,0,
Graptemys_ouachitensis,train,1,0,
Graptemys_pseudogeographica,train,1,0,
Gymnarchus_niloticus,train,1,0,
Gymnocharacinus_bergii,test,1,0,
Gymnosarda_unicolor,train,1,0,
Gymnotus_carapo,val,1,0,
Gyrinophilus_gulolineatus,train,1,0,
Halosauropsis_macrochir,train,1,0,
Harengula_clupeola,train,1,0,
Harengula_jaguana,train,1,0,
Helix_pomatia,val,1,0,
Heloderma_suspectum,train,1,0,
Hemibagrus_baramensis,train,1,0,
Hemibarbus_labeo,test,1,0,
Hemidactylus_turcicus,train,1,0,
Hemimysis_speluncola,train,1,0,
Hemiramphus_convexus,train,1,0,
Hemitriakis_japanica,train,1,0,
Heosemys_spinosa,train,1,0,
Hepsetus_odoe,train,1,0,
Heptranchias_perlo,train,1,0,
Heteronotia_binoei_3N1A,train,1,0,
Heteropneustes_fossilis,train,1,0,
Heterostichus_rostratus,train,1,0,
Heterotis_niloticus,train,1,0,
Hippocampus_erectus,train,1,0,
Hippocampus_guttulatus,val,1,0,
Hippocampus_hippocampus,train,1,0,
Hippocampus_reidi,val,1,0,
Hippocampus_zosterae,train,0,1,
Hippoglossoides_platessoides,train,1,0,
Hirundichthys_affinis,val,1,0,
Holacanthus_passer,train,1,0,
Holocentrus_adscensionis,val,1,0,
Homarus_gammarus,train,1,0,
Homopus_signatus,train,1,0,
Hoplias_malabaricus,train,1,0,
Hydrocynus_forskahlii,val,1,0,
Hydrocynus_vittatus,train,1,0,
Hynobius_yangi,train,1,0,
Hypanus_dipterurus,train,1,0,
Hypanus_guttatus,train,1,0,
Hypanus_sabinus,train,1,0,
Hyperoche_medusarum,train,1,0,
Hyperoglyphe_antarctica,train,1,0,
Hyperolius_viridiflavus,val,1,0,
Hyperoplus_lanceolatus,train,1,0,
Hypophthalmus_edentatus,val,1,0,
Hypoptychus_dybowskii,train,1,0,
Hypostomus_albopunctatus,train,1,0,
Hypsypops_rubicundus,val,1,0,
Ichthyomyzon_castaneus,test,1,0,
Ichthyophis_kohtaoensis,train,1,0,
Ictalurus_punctatus,train,1,0,
Iheringichthys_labrosus,test,1,0,
Ihlea_punctata,val,1,0,
Ilisha_africana,train,1,0,
Istigobius_decoratus,test,1,0,
Istigobius_goldmanni,train,1,0,
Isurus_oxyrinchus,val,1,0,
Jassa_falcata,train,1,0,
Karalla_daura,train,1,0,
Karalla_dussumieri,train,1,0,
Katsuwonus_pelamis,test,1,0,
Kinosternon_subrubrum,train,1,0,
Konosirus_punctatus,train,1,0,
Labeo_calbasu,train,1,0,
Labeo_coubie,train,1,0,
Labeo_niloticus,test,1,0,
Labeo_rohita,val,1,0,
Labeo_senegalensis,train,1,0,
Lamna_ditropis,train,1,0,
Lamna_nasus,val,1,0,
Lampetra_planeri,test,1,0,
Lampsilis_teres,train,1,0,
Larimichthys_polyactis,test,1,0,
Lates_calcarifer,train,1,0,
Lates_longispinis,train,1,0,
Lates_mariae,val,1,0,
Lates_stappersii,train,1,0,
Latimeria_chalumnae,train,1,0,
Latridopsis_ciliaris,test,1,0,
Latris_lineata,val,1,0,
Leiognathus_bindus,val,1,0,
Leiognathus_brevirostris,train,1,0,
Lepadogaster_lepadogaster,val,1,0,
Lepidogobius_lepidus,train,1,0,
Lepidorhombus_boscii,test,1,0,
Lepidotrigla_argus,train,1,0,
Lepidotrigla_cavillone,train,1,0,
Lepisma_saccharina,val,1,0,
Lepomis_cyanellus,train,1,0,
Lepomis_gulosus,test,1,0,
Lepomis_macrochirus,train,1,0,
Leptomysis_lingvura,train,1,0,
Lepturacanthus_savala,test,1,0,
Lethenteron_appendix,val,1,0,
Limia_vittata,train,1,0,
Lindbergichthys_nudifrons,test,0,1,
Liopholis_guthega,train,0,1,
Liopholis_inornata,test,1,0,
Liopholis_striata,train,1,0,
Liparis_gibbus,train,1,0,
Liparis_inquilinus,train,1,0,
Liparis_pulchellus,train,1,0,
Lithobates_chiricahuensis,train,1,0,
Lithobates_clamitans,train,1,0,
Lithognathus_mormyrus,test,1,0,
Lobatus_gigas,train,1,0,
Lobotes_surinamensis,train,1,0,
Loricariichthys_anus,val,1,0,
Lota_lota,train,1,0,
Loxodon_macrorhinus,train,1,0,
Lutjanus_bohar,train,1,0,
Lutjanus_kasmira,train,1,0,
Lutjanus_synagris,train,1,0,
Lutjanus_vitta,val,1,0,
Lycengraulis_grossidens,train,1,0,
Maccullochella_ikei,val,1,0,
Maccullochella_peelii,train,1,0,
Macomangulus_tenuis,test,1,0,
Macquaria_ambigua,train,1,0,
Macquaria_novemaculeata,val,1,0,
Macrocheira_kaempferi,train,1,0,
Macrochelys_temminckii,test,1,0,
Macroramphosus_gracilis,train,1,0,
Macroramphosus_scolopax,test,1,0,
Maculabatis_astra,train,1,0,
Marcusenius_macrolepidotus,train,1,0,
Marcusenius_pongolensis,train,1,0,
Margaritifera_laevis,train,1,0,
Margaritifera_margaritifera,train,1,0,
Mauremys_reevesii,train,1,0,
Mauremys_rivulata,test,1,0,
Mecistops_cataphractus,train,1,0,
Megalaspis_cordyla,test,1,0,
Megalonaias_nervosa,train,1,0,
Melanogrammus_aeglefinus,train,1,0,
Melanosuchus_niger,train,1,0,
Melanotaenia_boesemani,val,1,0,
Membras_martinica,train,0,1,
Mene_maculata,val,1,0,
Menidia_extensa,train,1,0,
Menticirrhus_americanus,train,1,0,
Menticirrhus_saxatilis,train,1,0,
Menticirrhus_undulatus,train,1,0,
Merlangius_merlangus,train,1,0,
Merluccius_merluccius,train,1,0,
Mesoplodon_stejnegeri,train,1,0,
Micralestes_acutidens,train,1,0,
Microcondylaea_bonellii,train,1,0,
Micropterus_dolomieu,val,1,0,
Micropterus_salmoides,train,1,0,
Microstomus_kitt,train,1,0,
Micrurus_corallinus,train,1,0,
Micrurus_fulvius,train,1,0,
Mimachlamys_varia,test,1,0,
Mitsukurina_owstoni,train,1,0,
Mobula_birostris,train,1,0,
Moenkhausia_dichroura,train,1,0,
Moenkhausia_pittieri,train,1,0,
Moina_micrura,train,1,0,
Monochirus_hispidus,train,1,0,
Monocorophium_insidiosum,train,1,0,
Mormyrops_anguilloides,train,1,0,
Mormyrus_kannume,train,1,0,
Mormyrus_longirostris,train,1,0,
Morone_chrysops,val,1,0,
Morone_mississippiensis,train,1,0,
Morone_saxatilis,val,1,0,
Mugil_liza,train,1,0,
Muraenesox_bagio,train,1,0,
Muraenesox_cinereus,train,1,0,
Mustelus_antarcticus,train,1,0,
Mustelus_californicus,train,1,0,
Mustelus_canis,train,1,0,
Mustelus_henlei,train,1,0,
Mustelus_manazo,train,1,0,
Mustelus_mustelus,train,1,0,
Mustelus_punctulatus,train,1,0,
Mustelus_schmitti,train,1,0,
Mustelus_walkeri,train,1,0,
Mya_arenaria,train,1,0,
Myliobatis_aquila,val,1,0,
Myliobatis_californica,train,1,0,
Myloplus_rhomboidalis,val,1,0,
Myripristis_amaena,train,1,0,
Myripristis_murdjan,train,1,0,
Mystus_cavasius,train,1,0,
Mytilopsis_sallei,val,1,0,
Mytilus_trossulus,train,1,0,
Myuchelys_bellii,train,1,0,
Nandinia_binotata,train,1,0,
Nannatherina_balstoni,test,1,0,
Nannoperca_vittata,train,1,0,
Natator_depressus,train,1,0,
Natrix_natrix,test,1,0,
Necturus_maculosus,train,1,0,
Negaprion_brevirostris,train,1,0,
Nematalosa_vlaminghi,train,1,0,
Neobola_stellae,train,1,0,
Neoceratodus_forsteri,test,1,0,
Neoniphon_sammara,train,1,0,
Neophocaena_phocaenoides,train,1,0,
Neotrygon_annotata,test,1,0,
Neotrygon_kuhlii,test,1,0,
Neotrygon_picta,train,1,0,
Notothenia_neglecta,test,1,0,
Noturus_baileyi,train,1,0,
Noturus_phaeus,train,1,0,
Nuchequula_blochii,val,1,0,
Nuchequula_gerreoides,train,1,0,
Nyctiphanes_australis,val,1,0,
Obliquaria_reflexa,train,1,0,
Octopus_cyanea,train,1,0,
Octopus_joubini,test,1,0,
Octopus_vulgaris,train,1,0,
Ocyurus_chrysurus,val,1,0,
Odontostilbe_paraguayensis,train,1,0,
Oedura_monilis,train,1,0,
Oligosarcus_hepsetus,train,1,0,
Oncorhynchus_clarkii_stomias,train,1,0,
Oncorhynchus_gilae,train,1,0,
Oncorhynchus_kisutch,val,1,0,
Oncorhynchus_mykiss,train,1,0,
Oncorhynchus_nerka,train,1,0,
Oncorhynchus_tshawytscha,test,1,0,
Onychodactylus_japonicus,train,1,0,
Orectolobus_halei,train,1,0,
Orectolobus_hutchinsi,train,1,0,
Orectolobus_maculatus,test,1,0,
Orectolobus_ornatus,test,1,0,
Oryzias_latipes,train,1,0,
Osmerus_dentex,test,1,0,
Osmerus_mordax,test,0,error,Matrix dimensions must agree.
Osphronemus_goramy,train,1,0,
Pacifastacus_leniusculus,train,1,0,
Pagellus_acarne,train,1,0,
Pagellus_bellottii,train,1,0,
Pagellus_bogaraveo,test,1,0,
Pagophilus_groenlandicus,train,1,0,
Pagothenia_borchgrevinki,train,0,1,
Pagurus_bernhardus,train,1,0,
Palaemon_elegans,train,1,0,
Palaemonetes_pugio,test,1,0,
Palaemonetes_varians,train,1,0,
Paleosuchus_palpebrosus,train,1,0,
Pangshura_tecta,train,1,0,
Panopea_abbreviata,train,1,0,
Parailia_pellucida,train,1,0,
Paralabrax_auroguttatus,train,1,0,
Paranotothenia_magellanica,train,1,0,
Parapocryptes_serperaster,train,1,0,
Parargyrops_edita,train,1,0,
Parastromateus_niger,train,1,0,
Parma_microlepis,test,0,1,
Parophrys_vetulus,test,0,1,
Parvaspina_collina,train,1,0,
Pecten_maximus,train,1,0,
Pegea_confoederata,test,1,0,
Pegusa_lascaris,val,1,0,
Pellona_ditchela,train,1,0,
Pellona_harroweri,test,1,0,
Pellonula_leonensis,test,1,0,
Pelobates_cultripes,train,1,0,
Pelobates_fuscus,train,1,0,
Pelobates_syriacus,val,1,0,
Pelophylax_bedriagae,test,1,0,
Pelophylax_caralitanus,val,1,0,
Pelophylax_epeiroticus,val,1,0,
Pelophylax_nigromaculatus,train,1,0,
Pelophylax_perezi,train,1,0,
Pelophylax_porosus,train,1,0,
Pelophylax_saharicus,val,1,0,
Percichthys_trucha,test,1,0,
Percilia_irwini,train,1,0,
Percina_tanasi,val,1,0,
Peristedion_cataphractum,train,1,0,
Perna_canaliculus,train,1,0,
Perna_viridis,train,1,0,
Petrocephalus_bovei,val,1,0,
Petromyzon_marinus,test,1,0,
Phalacronotus_micronemus,val,1,0,
Pholidoscelis_exsul,test,1,0,
Photopectoralis_bindus,test,1,0,
Phycodurus_eques,train,1,0,
Phyllopteryx_taeniolatus,train,1,0,
Physa_fontinalis,train,1,0,
Piaractus_brachypomus,val,1,0,
Pimephales_vigilax,train,1,0,
Plagioscion_squamosissimus,train,1,0,
Platanista_gangetica,val,1,0,
Platax_orbicularis,train,1,0,
Platichthys_stellatus,test,1,0,
Platycephalus_caeruleopunctatus,val,1,0,
Platycephalus_richardsoni,train,1,0,
Platyrhina_sinensis,train,1,0,
Plectroglyphidodon_dickii,train,1,0,
Plectropomus_leopardus,train,1,0,
Plectropomus_maculatus,train,1,0,
Plectropomus_pessuliferus,val,1,0,
Pleurobema_riddellii,train,1,0,
Pleurobrachia_pileus,train,1,0,
Pleurodeles_waltl,test,1,0,
Plotosus_lineatus,test,1,0,
Podocnemis_expansa,train,1,0,
Podocnemis_unifilis,test,1,0,
Poecilia_latipinna,train,1,0,
Pogona_barbata,train,1,0,
Pollachius_virens,train,1,0,
Pomacea_canaliculata,train,1,0,
Pomacentrus_amboinensis,train,1,0,
Pomacentrus_moluccensis,train,1,0,
Pomacentrus_wardi,test,1,0,
Pomadasys_argenteus,train,1,0,
Pomadasys_argyreus,train,1,0,
Pomadasys_kaakan,test,1,0,
