species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,estim_z,estim_kap,estim_v,estim_p_M,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,d_V,T_typical,f,t_0,model,completeness,s_M,estim_s_M,metamorphosis,weaning,foetus,genus
Acanthaster_planci,16.0582860194403,0.51028,0.00044905,14.6234,2352.8882,1.947e-09,0.0001469,0.03924,,5171.0,0.002,0.95,0.6,0.1,Acanthasteridae,Valvatida,Asteroidea,Echinodermata,MA,MP MI,0jMcp jiMb,Mp,,biPz bjCia,D,O,,,16.8561944389828,,,2752.43911826021,,,,,323.816366854143,1.7e-06,,,,,,,,19.0,70.0,,,0.22,,True,True,True,True,False,True,True,True,0.09,302.15,1.0,,abj,2.6,6.4157817926497405,True,True,False,False,Acanthaster
Acanthis_flammea,3277.71039558501,0.878972838832011,0.0265710185782057,3230.1478427485,7323.22045853033,2.0906869270813998e-12,173.945982041512,,1004.63621631533,2067.4514925579,0.132495769097418,0.95,0.8,0.1,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTht 0iThh,Tnpf,Ml,biCi biHs,Dg,O,2.04144991094697,,,3.37922958675522,6.054788938371729,541.557536034014,,,,1.33777967580825,4.01333902742476,1.3,,,13.489999999999998,14.2,,,,,,0.225276156054336,,,,True,True,True,True,True,True,False,True,0.28,314.75,1.0,,std,2.5,1.0,True,False,False,False,Acanthis
Acanthis_hornemanni,2295.936603808,0.922023127193393,0.0270403330017007,2184.93507639117,7323.53061037161,1.66194396697188e-12,143.060638426106,,855.181714441662,1675.57041869699,0.0890915953060663,0.95,0.8,0.1,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTf,Tnpf,Ml,biCi biHn biHs,Dg,O,2.24559490204167,,,3.8266072461786997,6.98863193445275,301.851741396008,,,,1.58101234413703,4.74303703241108,1.3,,,12.065,12.7,,,,,,0.101374270224451,,,,True,True,True,True,True,True,False,True,0.28,314.75,1.0,,std,2.5,1.0,True,False,False,False,Acanthis
Acanthisitta_chloris,691.322259265154,0.694633925523697,0.0192573837972236,468.947886217643,7322.0880256794,7.95464609731443e-13,957.867466104551,,5445.4115444769,10406.5784834044,0.0192040225147229,0.95,0.8,0.1,Acanthisittidae,Passeriformes,Aves,Chordata,Cfb,TAz,0iTf,Tnwfm Tntfm,,biCii,Dg,O,4.08289982189395,,,7.0016918418392295,12.83927588172979,443.899619700011,,,,2.91879201994528,8.75637605983584,1.0,,,6.6499999999999995,7.0,,,,,,0.135165693632601,,,,True,True,True,True,True,True,False,True,0.28,314.75,1.0,,std,2.5,1.0,True,False,False,False,Acanthisitta
Acanthiza_chrysorrhoa,1687.78370110258,0.849557689416477,0.0245903226579585,1035.45489350982,7322.73084663188,1.06173564173379e-11,785.933495951334,,4654.67080147681,9867.69633029728,0.0423649751987386,0.95,0.8,0.1,Acanthizidae,Passeriformes,Aves,Chordata,BWh BSh Cfb Cfc,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.5725373441572,,,5.88324769328055,10.50466839152724,399.50965773001,,,,2.31071034912335,6.93213104737004,3.0,,,29.45,31.0,,,,,,0.157693309238035,,,,True,True,True,True,True,True,False,True,0.28,314.75,1.0,,std,2.5,1.0,True,False,False,False,Acanthiza
Acanthiza_inornata,1345.40624801806,0.827538585924025,0.024382399824582,852.881975649937,7321.44124597781,1.0016584289724e-11,1091.74370505721,,4776.3019530093,9525.93213087384,0.0350997264614548,0.95,0.8,0.1,Acanthizidae,Passeriformes,Aves,Chordata,BSk Csa Csb,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.87875483079925,,,6.00704067867602,10.26361237442955,399.50965773001,,,,2.12828584787677,6.3848575436303,3.0,,,19.95,21.0,,,,,,0.135165693632601,,,,True,True,True,True,True,True,False,True,0.28,314.75,1.0,,std,2.5,1.0,True,False,False,False,Acanthiza
Acanthochaenus_luetkenii,415.863993388467,0.88633,0.026331,172.2879,5226.5825,8.749e-07,0.1123,,,1349.0,0.002,0.95,0.8,0.1,Stephanoberycidae,Beryciformes,Actinopterygii,Chordata,MA MB MC,MC,0jMp jiMpb,Mp,Mo,bjPz jiCi jiCvf,D,O,,,,,,26109.919766054,,,,,,0.0007,,,4.287734409170434,43.9,0.38257926446866963,,,7.0,15.2,1.63156380340107,,,,True,True,True,True,False,True,False,True,0.2,275.15,1.0,,std,2.5,1.0,True,False,False,False,Acanthochaenus
Acanthochromis_polyacanthus,34.3478896013338,0.985753362643187,0.0197147442749959,25.6151785377076,5221.36904521767,4.40814381152407e-10,0.249348258333793,12.5608217452908,,1546.11888162611,0.002,0.95,0.8,0.1,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MA,MPW,0iMc 0iMr,Mnm,,biCi,D,O,8.09963612898101,,,,,2217.27539030855,,,,,,0.0044,,,9.8,152.0,0.4944566631948548,,,6.5,16.0,5.95325238249414,,,,True,True,True,True,False,True,True,True,0.2,300.65,1.0,,abj,2.5,3.626414975475586,True,True,False,False,Acanthochromis
Acanthoclinus_littoreus,48.4231239626638,0.722664479689546,0.023423,20.0066226326892,5227.37540849199,1.93633153270476e-08,0.723206772445609,4.6373011316062,,20902.6808899326,0.002,0.95,0.68,0.1,Plesiopidae,OvalentariaIncSed,Actinopterygii,Chordata,MB,MPSW,0jMp jiMcd,Mnm,Mo,bjPz jiCi jiCvf,D,O,20.5529027084842,,,,,4233.58985447173,,,,,,0.00052,,,10.1,49.0,0.44290867105708576,,,12.0,20.0,66.7612440210513,,,,True,True,False,True,False,True,True,True,0.2,290.45,1.0,,abj,3.5,1.849320033562457,True,True,False,False,Acanthoclinus
Acanthocobitis_mooreh,13.8742865036981,0.89506,0.021154,19.0869,5223.7384,5.897e-10,0.06225,0.7364,,567.3,0.0022607,0.95,0.8,0.1,Nemacheilidae,Cypriniformes,Actinopterygii,Chordata,Af,TPi,0iFm 0iFp,Fh,Mp,biCi,D,O,,,,,,1427.01493117148,,,,,,0.000113,,,0.82,3.5,0.1910831109049181,,,3.7,6.0,33.6366487494251,,,,True,True,True,True,True,True,True,True,0.2,300.15,1.0,,abj,2.5,2.261809609288962,True,True,False,False,Acanthocobitis
Acanthocybium_solandri,408.529333719137,0.980209955645107,0.0339942935940501,51.2594183276962,5220.44495338145,4.858024668087761e-09,0.0176704767127382,1.14849855076979,,358173.079240831,0.002,0.95,0.8,0.1,Scombridae,Scombriformes,Actinopterygii,Chordata,MA MB,MC,0jMp jiMr,Mp,Mo,bjPz jiCi jiCvf,D,O,2.17663996533398,,,,,2269.92453527687,,,,,,0.0006,,,6000.0,112600.0,0.44813093566477236,,,99.3,250.0,26432.5967967396,,,,True,True,True,True,False,True,True,True,0.2,297.85,1.0,,abj,2.5,4.01197576046084,True,True,False,False,Acanthocybium
Acanthodactylus_boskianus,159.036174771394,0.472184935538998,0.0227054330271443,59.6713703797311,7828.01281614557,2.76240156403433e-08,853.287944262657,,,15629.8817082981,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,B,THp,0iTh 0iTf,Tv,,bpCvr biCvm biSv,Dg,O Apa,207.130024444862,,,,,5274.59015737498,,,,,,0.29268690790188495,,,1.9966289844674285,4.02,2.9,,,5.5,6.945,0.0170629370841564,,,,True,True,True,True,False,True,False,True,0.3,288.15,1.0,,std,2.5,1.0,True,False,False,False,Acanthodactylus
Acanthodactylus_erythrurus,98.0901587220837,0.78628,0.024034,49.282,7827.0006,1.812e-07,492.7,,,4660.0,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,BSk Csa,THp,0iTg,Tt,,biCi,Dg,O,,,,,,461.920419574917,,,,,,0.37363764740740746,,,2.421434074074074,6.14,2.95,,,5.5,7.5,0.0303082509599457,,,,True,True,True,True,False,True,False,True,0.3,298.15,1.0,,std,2.8,1.0,True,False,False,False,Acanthodactylus
Acanthodactylus_harranensis,86.1320215448692,0.538529900656913,0.0274437576050952,25.6214967755257,7833.87353511253,2.39695822833859e-08,882.37360972424,,,10260.8427188572,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,BSk,THp,0iTd 0iTa,Tt,,bpCvr biCvm biSv,Dg,O Apa,207.130024444862,,,,,5860.65573041664,,,,,,0.29301121029499605,,,1.9988412855315907,8.7,2.9,,,5.5,8.98,0.0170629370841564,,,,True,True,True,True,False,True,False,True,0.3,288.15,1.0,,std,2.2,1.0,True,False,False,False,Acanthodactylus
Acanthogobius_flavimanus,2908.05656946672,0.852165754872462,0.0215177414318969,1339.58178498647,5230.46191397477,1.61591035012263e-07,0.0953830180492349,,,10199.9192909543,0.002,0.95,0.8,0.1,Gobiidae,Gobiiformes,Actinopterygii,Chordata,MC,MPNW,0iMm 0iFr,Mnm,Ma,biCi biCvf,Dg,O,59.3370467329978,,,,,2049.78531662169,,,,,,0.0023,,,24.0,193.0,0.685836017349315,,,15.0,30.0,81.2280186855928,,,,True,True,True,True,False,True,False,True,0.2,291.05,1.0,,std,2.5,1.0,True,False,False,False,Acanthogobius
Acanthopagrus_arabicus,112.802903199148,0.826942039653112,0.019444,15.2787847656476,5237.34654505542,1.4111819788121101e-09,0.109482999716459,0.305283452506532,,100132.925532215,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,2.85924188480351,,,,,2656.4956420629,,,,,,0.00022,,,173.0,1500.0,0.21903445913104405,,,20.0,42.0,5270.10087211297,,,,True,True,False,True,False,True,True,True,0.2,300.35,1.0,,abj,1.8,1.4068706524823111,True,True,False,False,Acanthopagrus
Acanthopagrus_australis,161.562353543332,0.775757976927768,0.0177311091728167,16.2730472518014,5229.34254535395,3.8167805024078e-09,0.112309170073589,0.361240434853011,,158179.584160525,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MPSW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,3.5755606850725,,,,,3322.02092740372,,,,,,0.00022,,,206.76183320811418,4300.0,0.2450165068673817,,,24.0,66.0,12642.9065071617,,,,True,True,True,True,False,True,True,True,0.2,297.85,1.0,,abj,2.5,1.4754937343526717,True,True,False,False,Acanthopagrus
Acanthopagrus_berda,325.432974938016,0.93169,0.044806,27.3158,5226.948,1.646e-09,0.0272,0.02721,,42040.0,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MI,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,0.963883647529878,,,,249.9424442940939,3031.04334700165,,,,,248.978560646564,0.00022,,,168.4499314128944,3200.0,0.18,,,20.0,90.0,,,0.05,,True,True,True,True,False,True,True,True,0.2,298.87,1.0,,abj,1.8,1.0001222610885891,True,True,False,False,Acanthopagrus
Acanthopagrus_bifasciatus,123.461789885396,0.9511,0.021124,20.6566,5238.799,2.668e-10,0.02619,0.04946,,59870.0,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,,,,,,4029.19817302812,,,,,,0.00022,,,314.0,818.0,0.23407122741590305,,,26.4,36.2,,,0.05,,True,True,True,True,False,True,True,True,0.2,300.75,1.0,,abj,2.1,1.2353495326922985,True,True,False,False,Acanthopagrus
Acanthopagrus_butcheri,254.980194230156,0.53277,0.027548,17.1748,5228.4481,2.028e-09,0.3297,0.7487,,104200.0,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MB,MIS,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,,,,,,13259.3346825641,,,,,,0.00022,,,58.0,3200.0,0.2476337808738837,,,16.0,60.0,6561.41519034166,,,,True,True,True,True,False,True,True,True,0.2,290.75,1.0,,abj,2.1,1.3139531749113182,True,True,False,False,Acanthopagrus
Acanthopagrus_latus,397.769314292278,0.52238,0.029954,39.592,5215.9072,2.807e-09,0.2695,0.7014,,1023000.0,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MB,MPE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,,,,,,1677.7447954986,,,,,,0.00022,,,371.0,896.0,0.2499960142571493,,,29.7,40.0,,,,,True,True,True,True,False,True,True,True,0.2,300.55,1.0,,abj,2.5,1.3740496145229948,True,True,False,False,Acanthopagrus
Acanthopagrus_schlegelii,200.862748425637,0.95753,0.024366,28.717,5229.065,1.177e-08,0.01842,0.06795,,13000.0,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MPSE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,,,,,,2337.82527793085,,,,,259.758364214539,0.00022,,,204.8,3200.0,0.2048303176501615,,,20.0,50.0,,,0.05,,True,True,True,True,False,True,True,True,0.2,296.85,1.0,,abj,2.1,1.5435917429923036,True,True,False,False,Acanthopagrus
Acanthophis_antarcticus,190.342192204097,0.92074,0.020553,18.4435,7844.7338,5.045e-09,1744.0,,,17100.0,0.002,0.95,0.8,0.1,Elapidae,Squamata,Reptilia,Chordata,BWh BWk BSh Cfa Cfb,TA,biTf biTh biTg,Tv,,biCv,Dg,O,,,,,,1573.30002740555,,,,,,5.84,,,46.72,1730.3703703703704,15.0,,,30.0,100.0,0.120587298477873,,,,True,True,True,True,False,True,False,True,0.3,301.65,1.0,,std,2.6,1.0,True,False,False,False,Acanthophis
Acanthurus_bahianus,16.1990821196325,0.96111,0.019014,17.4518,5218.0037,1.376e-11,0.03255,3.019,,1806.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MA,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,5657.20180931483,,,,,,0.00018,,,8.4,76.4,0.22417108941142128,,,8.0,17.0,,,0.09,,True,True,True,True,False,True,True,True,0.2,301.15,1.0,,abj,2.4,4.495790757535835,True,True,False,False,Acanthurus
Acanthurus_leucosternon,148.148844863958,0.92435,0.021324,18.2275,5222.1355,4.307e-11,0.03086,0.07232,,9191.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,8314.78271365706,,,,,,0.00018,,,45.7,2500.0,0.22119132819286655,,,13.8,54.0,5953.25238249414,,,,True,True,True,True,False,True,True,True,0.2,300.65,1.0,,abj,2.4,1.3277016942776207,True,True,False,False,Acanthurus
Acanthurus_lineatus,57.205423176663,0.96019,0.020062,18.3118,5229.9,1.628e-11,0.02423,1.096,,44510.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,7955.44004434898,,,,,,0.00018,,,260.0,1943.0,0.16510234805719068,,,18.0,38.0,3620.16429505463,,,,True,True,True,True,False,True,True,True,0.2,301.15,1.0,,abj,2.2,3.5563515968152486,True,True,False,False,Acanthurus
Acanthurus_nigricans,54.9796039954588,0.96009,0.022005,22.3904,5219.1526,3.108e-11,0.02484,1.192,,23460.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,6338.14700521692,,,,,,0.00018,,,125.0,955.0,0.20481153560875578,,,18.0,36.0,,,0.09,,True,True,True,True,False,True,True,True,0.2,300.55,1.0,,abj,2.2,3.6230798138152593,True,True,False,False,Acanthurus
Acanthurus_nigricauda,137.529949622325,0.9532,0.021202,21.8006,5225.8199,2.885e-11,0.01922,0.06685,,18430.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,7679.99010517926,,,,,,0.00018,,,126.0,1800.0,0.208724739919583,,,18.4,45.3,3750.00483146166,,,,True,True,False,False,False,True,True,True,0.2,301.55,1.0,,abj,2.4,1.5138916171766104,True,True,False,False,Acanthurus
Acanthurus_nigrofuscus,32.3298042236726,0.95604,0.019323,19.3991,5230.1851,5.69e-11,0.03176,1.205,,9242.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,4538.32995237718,,,,,,0.00018,,,39.3,206.0,0.20001945012654848,,,12.0,21.0,,,0.09,,True,True,True,True,False,True,True,True,0.2,300.85,1.0,,abj,2.2,3.346909800578658,True,True,False,False,Acanthurus
Acanthurus_olivaceus,57.8384700487542,0.96607,0.02056,20.0043,5226.8005,3.141e-11,0.0206,1.18,,9305.0,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MIE MPW,0jMp jiMr,Mp,,bjPz jiHa,D,O,,,,,,6187.5644789381,,,,,,0.00018,,,68.0,2003.0,0.15824340351380642,,,11.55,35.0,3733.29442927509,,,,True,True,True,True,False,True,True,True,0.2,301.15,1.0,,abj,2.2,3.846140653308768,True,True,False,False,Acanthurus
Acanthurus_triostegus,85.4898845290119,0.98856,0.024757,58.4655,5227.1839,6.959e-12,0.005593,0.4521,,729.6,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,,,,,,8241.54171755751,,,,,,0.000157,,,15.0,414.0,0.19394137738774495,,,8.8,27.0,747.357134269947,,,,True,True,True,True,False,True,True,True,0.2,300.75,1.0,,abj,2.5,4.292678696648895,True,True,False,False,Acanthurus
Acarichthys_heckelii,5520.09810198778,0.962805079126427,0.0208009350296727,3184.64588321196,5230.02366013221,9.451577579596631e-09,0.0105271287780477,,,5935.60691894478,0.002,0.95,0.8,0.1,Cichlidae,Cichliformes,Actinopterygii,Chordata,A,TN,biFr,Fnf,Mp,biPz,D,O,1.98582346516608,,,,606.007127453184,1449.65112957124,,,,,604.021303988018,0.0018,,,47.0,276.0,0.3878596650453643,,,12.0,20.0,143.960154097023,,,,True,True,True,True,False,True,False,True,0.2,297.65,1.0,,std,2.5,1.0,True,False,False,False,Acarichthys
Accipiter_cooperii,4740.23651719438,0.971195585467274,0.027138642329303,1742.90104648425,7324.28391370111,1.10365081275539e-12,461.727681903037,,3253.71863029212,9263.18395860804,0.0708549616232163,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,BW BS Csa Cfa Dfa,THn,0iTh 0iTi 0iTf,Tnpf,Ms,biCi biCv,Dg,O,4.49118980408334,,,8.00988365544775,15.047271358176541,1042.87048366738,,,,3.51869385136441,10.5560815540932,22.0,,,492.09999999999997,518.0,,,,,,0.0778620176442716,,,,True,True,True,True,True,True,False,True,0.28,313.15,1.0,,std,2.5,1.0,True,False,False,False,Accipiter
Accipiter_fasciatus,156.851055792269,0.984059447374139,0.0580724220233369,20.3321547249315,7320.71149129712,3.5640493357577997e-12,1274.77250470983,,3685.26621824098,12501.3538457052,0.0008339728291329,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,A B C,TA,0iFm 0iTh,Tnpf,,biCvb biCvm biCva biCii,Dg,O,6.12434973284092,,,10.417156231505501,19.00276922883472,1027.45860459841,,,,4.29280649866458,12.8784194959938,14.0,,,551.0,580.0,,,,,,0.0583965132332037,,,,True,True,True,True,True,True,False,True,0.28,313.15,1.0,,std,2.5,1.0,True,False,False,False,Accipiter
Accipiter_nisus,131.43829537398,0.947770585185484,0.0590582997830922,19.8335876125538,7322.44790442638,2.73374900732038e-12,5442.45993178909,,10791.5410360781,26299.7327626666,0.0008126603214078,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,B C D,THp,0iFm 0iTh,Tnpf,Ml,biCvb biCvm biCva biCii,Dg,O,6.73678470612501,,,10.114730803434849,16.87062299805451,1037.73319064439,,,,3.37794609730984,10.1338382919295,16.5,,,294.5,310.0,,,,,,0.0875947698498056,,,,True,True,True,True,True,True,False,True,0.28,313.15,1.0,,std,2.5,1.0,True,False,False,False,Accipiter
Accipiter_striatus,1413.75613305971,0.93071,0.021476,526.5294,7324.0346,3.178e-12,1529.0,,7395.0,19180.0,0.021559,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,B C D,THp,0iFm 0iTh,Tnsf,,biCvb biCvm biCva biCii,Dg,O,6.94092969721971,,,11.163362318857011,19.60822756213161,1022.32131157542,,,,4.2224326216373,12.6672978649119,,,,163.4,172.0,,,,,,0.0778620176442716,,,,True,True,True,True,True,True,False,True,0.28,313.15,1.0,,std,2.5,1.0,True,False,False,False,Accipiter
Acentrogobius_pflaumii,226.59452555623,0.95554,0.023971,54.4335,5218.5866,3.109e-07,0.1891,,,4008.0,0.002,0.95,0.8,0.1,Gobiidae,Gobiiformes,Actinopterygii,Chordata,MC,MPNW,0iMm 0iFr,Mnm,Ma,biCi biCvf,Dg,O,19.967467315645,,,,,2049.78531662169,,,,,,0.0023,,,24.0,193.0,0.685836017349315,,,15.0,30.0,,,0.05,,True,True,True,True,False,True,False,True,0.2,291.05,1.0,,std,2.5,1.0,True,False,False,False,Acentrogobius
