species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Amblyopsis_rosae,4.178082e-02,4.428767e-01,6.331621e+03,2.000000e-01,1.284151e-03,1.284151e-03,3.965695e-01,3.270642e+00,3.948436e-02,2.873500e+02,,False,,3.823698e+01,9.448000e-01,2.192100e-02,2.678800e+01,5.220430e+03,2.827000e-08,1.000000e+00,2.039711e-03,4.709000e+02
Amblyopsis_spelaea,4.595890e-02,3.969178e-01,7.115737e+03,2.000000e-01,7.536232e-04,7.536232e-04,2.463768e-01,6.900000e+00,9.837351e-02,2.861500e+02,,False,,4.598062e+01,9.019400e-01,2.183400e-02,2.414940e+01,5.223227e+03,5.117000e-08,1.000000e+00,2.243638e-03,9.235000e+02
Amphiuma_means,1.547438e-02,1.636225e-01,8.191176e+03,2.800000e-01,5.278311e-04,1.383821e-04,1.426104e-01,1.042000e+03,6.922083e-01,2.951500e+02,,False,,1.819610e+02,9.998200e-01,1.166600e-02,2.600610e+01,7.305699e+03,1.535000e-09,7.953858e-01,2.965788e-03,8.915000e+01
Amphiura_filiformis,1.070565e-04,1.200000e-01,3.304156e+04,9.000000e-02,8.955786e-08,1.407525e-03,8.168306e-01,5.846500e+00,5.022548e+02,2.841500e+02,,False,,1.439180e+01,9.914600e-01,3.039900e-02,4.150950e+01,2.347901e+03,3.000000e-09,6.978707e-03,7.163842e-06,1.770000e+02
Anarhichas_minor,3.913894e-02,3.333333e-01,9.930808e+03,2.000000e-01,3.118280e-06,3.118280e-06,2.853047e-02,2.790000e+04,7.443503e+01,2.766500e+02,,False,,3.556813e+01,7.430300e-01,7.355100e-03,2.005630e+01,5.244123e+03,5.694000e-09,1.523793e-04,6.516523e-01,8.836000e+05
Anolis_gundlachi,3.202730e-02,2.849315e-01,8.023207e+02,3.000000e-01,3.184567e-02,3.184567e-02,5.279057e-01,2.913171e+00,6.730476e-02,2.981500e+02,,False,,1.760022e+02,8.121000e-01,2.311000e-02,1.266000e+02,7.836000e+03,6.243000e-08,1.000000e+00,2.517378e-02,4.028000e+03
Aphanius_fasciatus,2.873084e-03,1.044713e-01,2.903926e+03,2.000000e-01,3.769610e-04,3.769610e-04,1.554960e-02,7.460000e+00,1.055812e+00,2.901500e+02,,False,,2.546557e+01,7.608000e-01,3.578400e-02,1.060380e+01,5.241252e+03,4.851000e-08,1.000000e+00,1.098675e-02,2.037000e+02
Aplodontia_rufa,1.225697e-02,2.122570e-01,7.527784e+02,3.000000e-01,2.266667e-02,3.493333e-01,8.444444e-01,1.125000e+03,3.653134e-02,3.111500e+02,,True,,2.940164e+03,4.014400e-01,2.806500e-02,2.922546e+02,7.806374e+03,1.254000e-13,2.891667e-02,9.322034e-02,1.416000e+07
Apodemus_sylvaticus,2.118306e-02,5.205934e-02,5.282704e+02,3.000000e-01,5.681818e-02,1.818182e-01,3.181818e-01,4.400000e+01,7.145985e-01,3.098500e+02,,True,,4.856611e+02,5.857600e-01,3.557100e-02,1.143182e+02,7.838678e+03,4.335000e-14,2.139049e-01,3.604727e-01,7.701000e+04
Archosargus_probatocephalus,1.383975e-04,6.263840e-02,7.300000e+03,2.000000e-01,2.101961e-08,2.101961e-08,5.474510e-02,1.275000e+04,3.872609e+02,2.931500e+02,,False,,1.808545e+02,9.942500e-01,8.384900e-02,2.311420e+01,5.220953e+03,1.102000e-09,5.455545e-02,5.968271e-06,1.828000e+04
Argopecten_purpuratus,1.806867e-03,3.468358e-02,2.678307e+03,9.000000e-02,6.933472e-09,5.093555e-08,8.316008e-03,2.137778e+02,6.084888e+05,2.891500e+02,,False,,5.186611e+01,9.719000e-01,3.876000e-02,5.168000e+01,2.374000e+03,5.544000e-08,6.304300e-03,6.001059e-06,7.557000e+01
Arion_subfuscus,1.150685e-01,5.726027e-01,5.860656e+02,1.500000e-01,1.851852e-03,1.851852e-03,2.129630e-01,1.080000e+01,1.023776e-01,2.911500e+02,,False,,1.852346e+02,9.814300e-01,2.802200e-02,4.659731e+02,3.916048e+03,5.021000e-06,8.366501e-03,9.975186e-01,1.209000e+02
Asellus_aquaticus,1.533415e-02,5.533415e-02,1.122072e+03,1.700000e-01,1.111111e-02,1.111111e-02,6.666667e-02,4.500000e-02,1.138630e+00,2.881500e+02,,False,,8.807004e+01,9.089200e-01,9.754100e-03,5.275728e+02,4.432120e+03,4.969000e-07,2.641248e-01,1.542508e-01,5.152000e-01
Astacus_astacus,2.811719e-02,2.947839e-01,1.435337e+04,1.700000e-01,2.052786e-04,2.052786e-04,2.639296e-01,6.820000e+01,2.090102e-01,2.831500e+02,,False,,1.449119e+02,9.062400e-01,2.285100e-02,4.261860e+01,4.435968e+03,6.321000e-08,1.000000e+00,4.307049e-04,6.696000e+03
Atherina_presbyter,1.063792e-02,1.293405e-01,3.924371e+03,2.000000e-01,3.125000e-05,3.125000e-05,3.210227e-02,7.040000e+01,8.791218e+00,2.851500e+02,,False,,1.214038e+02,6.546000e-01,2.951000e-02,3.583000e+01,5.185000e+03,5.235000e-07,3.077196e-01,2.707833e-03,4.162000e+03
Baikaiobia_guttata,6.712329e-02,2.041096e-01,2.589945e+03,7.000000e-02,3.357143e-03,3.357143e-03,1.285714e-01,2.800000e-01,3.088869e-03,2.931500e+02,,False,,7.953393e+01,9.938500e-01,1.735300e-02,3.503293e+02,1.828986e+03,6.374000e-06,1.172184e-01,1.333439e-01,3.149000e-01
Balaenoptera_borealis,2.268707e-02,1.578963e-01,6.052034e+03,3.000000e-01,3.578947e-02,3.578947e-02,8.421053e-01,1.900000e+07,6.113647e-03,3.101500e+02,,True,,3.776164e+03,7.971800e-01,8.420000e-02,2.220580e+01,7.818019e+03,1.374000e-25,3.052171e-01,7.747938e-02,1.091000e+10
Balaenoptera_musculus,1.642035e-02,6.187490e-02,8.996267e+03,3.000000e-01,1.718750e-02,1.062500e-01,4.312500e-01,1.600000e+08,4.890918e-03,3.101500e+02,,True,,6.380108e+03,9.783800e-01,1.907000e-01,2.118730e+01,7.838025e+03,9.883000e-14,3.539658e-01,8.505291e-02,3.024000e+09
Barbronia_weberi,1.770492e-01,8.786885e-01,1.389883e+02,1.600000e-01,1.318681e-02,1.318681e-02,9.780220e-01,9.100000e-02,4.702350e-01,2.941500e+02,,False,,1.139444e+03,6.396500e-01,2.332000e-02,4.050266e+03,4.188148e+03,6.935000e-06,1.000000e+00,1.977092e-03,1.004000e+03
Betta_splendens,6.849315e-04,3.410959e-02,1.767876e+03,2.000000e-01,1.106383e-04,1.106383e-04,1.276596e-01,4.700000e+00,2.206038e+00,3.011500e+02,,False,,3.456954e+01,9.997400e-01,7.418600e-02,4.417700e+01,5.217332e+03,1.034000e-10,3.336444e-03,8.942976e-03,2.157000e+01
Bimastos_rubidus,8.342945e-03,2.910419e-02,2.065010e+03,1.600000e-01,6.250000e-02,6.250000e-02,6.750000e-01,4.000000e-01,4.357171e-01,2.956500e+02,,False,,5.934821e+02,3.469100e-01,5.365000e-02,4.328040e+02,4.180384e+03,1.066000e-09,1.000000e+00,2.680621e-02,2.317000e+03
Biomphalaria_glabrata,3.611111e-02,1.394444e-01,3.600000e+02,1.500000e-01,1.650809e-04,5.957447e-02,1.872340e-01,2.350000e+00,1.370000e+02,2.931500e+02,,False,,1.848408e+02,5.410000e-01,2.103000e-02,8.688000e+02,3.950000e+03,5.001000e-07,1.363887e-03,3.427358e-01,1.060000e+03
Birgus_latro,1.099538e-03,5.109954e-02,1.931475e+04,1.700000e-01,4.100000e-07,4.100000e-07,1.180000e-01,1.000000e+03,7.144800e+02,2.831500e+02,,False,,1.350696e+01,7.625300e-01,1.161800e-02,2.025500e+00,4.400000e+03,2.574000e-15,1.588235e-01,1.887683e-05,1.567000e+05
Bombina_bombina,5.952498e-04,1.505952e-01,1.291119e+04,2.800000e-01,1.223022e-04,1.294964e-02,2.949640e-01,1.390000e+01,1.549044e+00,2.901500e+02,,False,,1.236901e+02,8.614300e-01,7.201800e-02,4.897290e+01,7.300728e+03,1.805000e-09,7.830688e-03,2.396045e-02,7.888000e+03
Boops_boops,1.369863e-03,1.863014e-01,3.522059e+03,2.000000e-01,2.425926e-06,2.425926e-06,2.060185e-01,2.160000e+02,3.564961e+02,2.911500e+02,,False,,2.975525e+02,7.885400e-01,6.279000e-02,4.939830e+01,5.221437e+03,2.236000e-08,9.990070e-01,5.165869e-06,5.848000e+04
Bos_primigenius_Angus,1.534118e-01,2.001393e-01,1.289582e+03,3.000000e-01,6.913043e-02,4.319565e-01,5.108696e-01,4.600000e+05,1.475861e-02,3.117500e+02,,True,,2.112856e+03,9.569600e-01,1.272100e-01,3.638750e+01,7.782354e+03,1.245500e-12,1.434307e-01,7.104462e-01,4.537367e+07
Bos_primigenius_Brahman,4.471932e-02,1.138213e-01,1.247866e+03,3.000000e-01,4.457143e-02,3.092857e-01,4.342857e-01,7.000000e+05,1.412662e-02,3.121500e+02,,True,,1.618308e+03,9.443900e-01,1.053400e-01,2.493850e+01,7.836059e+03,4.796900e-12,2.048777e-01,5.386533e-01,6.312538e+07
Bos_primigenius_Holstein,8.441469e-02,1.276415e-01,1.247866e+03,3.000000e-01,6.602941e-02,1.026471e-01,3.544118e-01,6.800000e+05,1.483096e-02,3.121500e+02,,True,,1.855858e+03,9.417700e-01,1.157800e-01,2.900990e+01,7.834063e+03,3.568000e-12,5.992777e-01,2.745133e-01,5.548000e+07
Brachidontes_pharaonis,7.534247e-04,1.254110e-01,1.460000e+03,9.000000e-02,1.328546e-08,2.621117e-06,5.434783e-02,1.545600e+00,1.208408e+03,2.931500e+02,,False,,8.202124e+00,9.830000e-01,1.868000e-02,1.424000e+01,2.478000e+03,4.156000e-08,1.189728e-01,1.530282e-05,2.163000e+00
Brachionus_plicatilis,9.090909e-02,1.727273e-01,1.100000e+01,6.000000e-02,1.357143e-01,1.357143e-01,7.857143e-01,2.800000e-06,4.528302e+00,2.931500e+02,,False,,9.979957e+01,3.680800e-01,1.259600e-02,4.843520e+03,1.559423e+03,1.932000e-03,1.000000e+00,5.031325e-01,6.225000e-04
Branchiostoma_floridae,1.245330e-03,2.092154e-02,7.305140e+02,6.000000e-02,1.712067e-04,7.512328e-04,6.235183e-02,4.218000e-01,6.870163e+02,3.036500e+02,,False,,6.232006e+00,8.286000e-01,1.170000e-02,2.608000e+01,1.565000e+03,3.967000e-10,2.406224e-02,1.129554e-02,8.591000e+00
Branchiura_sowerbyi,1.545455e-02,7.000000e-02,1.002538e+03,1.600000e-01,1.833333e-03,1.833333e-03,3.500000e-01,2.400000e-01,3.218497e-01,2.931500e+02,,False,,5.509754e+02,9.594200e-01,8.632900e-03,2.240851e+03,4.180457e+03,6.632000e-08,1.000000e+00,1.077239e-03,1.217000e+01
Branchotenthes_octohamatus,1.767592e-01,6.753893e-01,1.396026e+01,7.000000e-02,8.846154e-11,8.846154e-11,5.000000e-01,2.600000e-03,3.581595e+02,2.931500e+02,,False,,1.207592e-01,9.947400e-01,4.010900e-04,2.129670e+01,1.827926e+03,4.475000e-09,5.521402e-05,1.292610e-01,2.693000e-02
Caenorhabditis_elegans,2.182540e-02,1.507937e-01,2.100000e+01,7.000000e-02,5.581395e-03,5.581395e-03,4.186047e-01,4.300000e-06,2.180000e+02,2.931500e+02,,False,,1.750133e+01,8.500000e-01,8.930000e-02,2.652000e+03,1.811000e+03,2.171000e-04,1.995018e-02,2.837524e-01,9.903000e-04
Callorhinus_ursinus,2.634352e-02,2.065332e-01,2.006397e+03,3.000000e-01,1.125000e-01,1.125000e-01,6.250000e-01,4.000000e+04,1.295985e-02,3.108500e+02,,True,,2.586603e+02,8.702000e-01,2.495700e-02,8.109900e+00,7.857464e+03,1.080000e-11,5.385923e-01,9.088381e-02,3.236000e+07
Calotriton_asper,3.962065e-03,1.578082e-01,2.487917e+04,2.800000e-01,2.871429e-03,3.420185e-03,2.621429e-01,1.400000e+01,2.612627e-02,2.831500e+02,,False,,8.690360e+01,8.481100e-01,1.131100e-01,3.119870e+01,7.306736e+03,1.872000e-09,1.170964e-01,6.827465e-02,5.680000e+03
Cancer_pagurus,8.196619e-03,2.919662e-02,1.169902e+05,1.700000e-01,1.064516e-08,1.064516e-08,1.458065e-01,3.100000e+03,2.564317e+03,2.811500e+02,,False,,1.609452e+01,9.454800e-01,1.996900e-02,6.354470e+01,4.437405e+03,3.377000e-11,5.078740e-06,1.932227e-02,1.446000e+05
Carcharhinus_leucas,2.410659e-02,1.814641e-01,5.657202e+03,2.000000e-01,6.073171e-03,6.073171e-03,2.069756e-01,4.100000e+05,7.353451e-02,3.031500e+02,,False,,7.475160e+02,6.769000e-01,2.324000e-02,1.372000e+01,5.237000e+03,4.832000e-10,1.000000e+00,2.251176e-02,3.826000e+07
Carcharias_taurus,1.141553e-02,5.114155e-01,2.533755e+03,2.000000e-01,3.420074e-05,3.420074e-05,3.035688e-01,2.690000e+05,4.736055e+00,2.991500e+02,,False,,1.228548e+03,9.245500e-01,5.600500e-02,3.294260e+01,5.222046e+03,6.058000e-09,1.000000e+00,4.410089e-05,1.685000e+07
Carcharodon_carcharias,3.013699e-02,5.000000e-01,8.313031e+03,2.000000e-01,1.052948e-02,1.052948e-02,1.740975e-01,3.324000e+06,5.052309e-02,2.971500e+02,,False,,2.192341e+03,7.930000e-01,1.176100e-01,2.008000e+01,5.226000e+03,1.822000e-09,1.000000e+00,4.405730e-02,2.583000e+08
Caretta_caretta,1.311952e-03,2.699687e-01,2.105097e+04,3.000000e-01,1.193580e-04,1.193580e-04,4.857951e-01,1.626200e+05,8.911702e-01,2.931500e+02,,False,,7.472709e+02,7.285600e-01,6.807400e-02,1.120050e+01,7.322000e+03,1.112000e-10,1.000000e+00,2.567089e-04,9.875000e+07
Cerastoderma_edule,3.669101e-04,3.933531e-02,1.192109e+04,9.000000e-02,2.700000e-08,2.700000e-08,1.088889e-02,1.000000e+01,3.405372e+03,2.861500e+02,,False,,1.419325e+01,9.689000e-01,9.151600e-03,1.833310e+01,2.353289e+03,3.170100e-08,7.369650e-02,1.821429e-05,7.054900e+00
Cetorhinus_maximus,7.000000e-02,4.700000e-01,4.122610e+04,2.000000e-01,4.772804e-03,4.772804e-03,5.645161e-01,4.650000e+06,1.819236e-03,2.846500e+02,,False,,6.104264e+03,9.244500e-01,5.098800e-02,9.752900e+01,5.217647e+03,9.578000e-09,1.000000e+00,3.473761e-03,2.725000e+08
Chaenocephalus_aceratus,8.219178e-03,3.332192e-01,5.995803e+04,2.000000e-01,4.601227e-05,1.426905e-03,6.482618e-01,9.780000e+02,7.547279e+00,2.721500e+02,,False,,1.068416e+03,2.800800e-01,1.129400e-01,1.486104e+02,5.221554e+03,1.071000e-07,1.889773e-02,8.050485e-04,1.030000e+07
Channa_punctata,9.090909e-04,3.318182e-01,5.820882e+02,2.000000e-01,1.666667e-06,1.666667e-06,9.333333e-02,3.000000e+02,8.219178e+01,3.001500e+02,,False,,9.746243e+01,9.969600e-01,4.454000e-02,1.648840e+01,5.232446e+03,6.290500e-08,1.000000e+00,6.852200e-07,3.459327e+02
Chanos_chanos,1.183409e-03,2.000000e-01,2.428623e+03,2.000000e-01,2.544270e-08,2.544270e-08,3.214286e-01,1.400000e+04,2.161719e+04,3.021500e+02,,False,,7.724968e+02,7.455000e-01,4.969000e-02,3.923000e+01,5.200000e+03,6.052000e-10,7.077372e-01,2.034190e-07,3.539000e+06
Chologaster_cornuta,5.013699e-03,7.186301e-02,7.115737e+03,2.000000e-01,3.058824e-04,3.058824e-04,2.705882e-01,1.700000e+00,1.377229e-01,2.861500e+02,,False,,4.998713e+02,9.931200e-01,2.171300e-02,7.633660e+02,5.229249e+03,1.946000e-08,1.000000e+00,2.144644e-04,1.839000e+01
Chromis_chromis,1.341004e-03,1.847043e-01,3.285000e+03,2.000000e-01,1.522777e-05,7.980818e-04,3.424956e-01,2.292000e+01,2.000000e+02,2.951500e+02,,False,,4.383932e+01,8.885900e-01,3.527500e-02,3.054350e+01,5.204230e+03,6.876000e-09,6.025341e-02,1.087627e-04,6.676000e+03
Chrosomus_neogaeus,5.936073e-03,1.726027e-01,2.190000e+03,2.000000e-01,1.196581e-04,1.196581e-04,1.008547e-01,1.170000e+01,8.383562e+00,2.931500e+02,,False,,2.161959e+01,9.077300e-01,4.055000e-02,6.945830e+01,5.221161e+03,2.804000e-09,1.523269e-03,9.993450e-01,4.580000e+02
Cirrhinus_cirrhosus,5.479452e-04,8.054795e-02,4.419689e+03,2.000000e-01,4.122835e-08,4.122835e-08,1.574803e-01,1.270000e+04,5.656507e+03,3.011500e+02,,False,,1.193913e+02,9.073800e-01,1.981700e-02,1.688460e+01,5.214651e+03,2.051000e-10,4.840637e-02,4.006385e-06,6.265000e+05
Claudius_angustatus,2.111983e-02,3.316788e-01,2.846280e+03,3.000000e-01,9.500000e-03,9.500000e-03,2.962500e-01,4.000000e+02,3.393904e-02,3.011500e+02,,False,,5.079112e+01,8.674500e-01,4.379700e-02,6.367700e+00,7.863812e+03,3.786000e-10,1.000000e+00,1.784454e-02,2.097000e+05
Clione_limacina,1.173188e-03,1.122908e-02,4.351653e+03,1.500000e-01,2.289377e-08,1.302666e-05,5.494505e-03,3.640000e+00,1.378786e+02,2.791500e+02,,False,,2.349618e+01,9.961000e-01,3.755000e-03,2.919000e+02,3.920000e+03,4.914000e-05,3.743515e-04,4.150740e-03,1.486000e-01
Clypeaster_subdepressus,7.402962e-05,1.250740e-01,2.344262e+04,9.000000e-02,1.020000e-08,1.112823e-08,3.700000e-02,5.000000e+02,8.190210e+03,2.991500e+02,,False,,1.008441e+01,8.000000e-01,1.336000e-02,3.622600e+00,2.376252e+03,9.252000e-10,3.084782e-02,7.030784e-06,1.072000e+04
Corydoras_aeneus,1.643836e-03,8.383562e-02,1.154801e+03,2.000000e-01,2.000000e-04,2.000000e-04,3.637500e-01,3.200000e+00,2.597850e+00,2.981500e+02,,False,,1.454308e+02,9.823700e-01,5.977400e-02,1.125113e+02,5.223279e+03,3.769000e-09,9.997635e-01,2.425703e-04,1.743000e+02
Crassostrea_virginica,1.583100e-04,7.612822e-03,7.300000e+03,9.000000e-02,4.189944e-09,2.094972e-07,3.351955e-03,3.977778e+02,1.300000e+06,2.931500e+02,,False,,1.142673e+01,6.810300e-01,2.198600e-02,4.165700e+00,2.315063e+03,9.487000e-10,1.734056e-02,7.389117e-05,9.740000e+02
Crinia_georgiana,1.698630e-02,2.339726e-01,5.754712e+03,2.800000e-01,2.416667e-03,1.959167e-02,1.666667e-01,4.285714e+00,1.737706e-01,2.851500e+02,,False,,6.956839e+02,8.590000e-01,5.556000e-02,4.687000e+02,7.350000e+03,5.200000e-07,1.091949e-01,4.199288e-02,1.686000e+03
Crocodylus_johnsoni,1.741830e-03,2.500000e-01,1.516884e+04,3.000000e-01,1.578947e-03,1.578947e-03,2.812030e-01,2.660000e+04,4.285099e-02,2.951500e+02,,False,,1.149531e+03,9.700000e-01,7.124000e-02,5.592000e+01,7.461000e+03,1.065000e-10,1.000000e+00,1.073047e-03,2.163000e+06
Crocodylus_mindorensis,1.283436e-03,6.795010e-02,2.076325e+04,3.000000e-01,6.706507e-04,6.706507e-04,1.992032e-01,7.530000e+04,2.167291e-01,2.981500e+02,,False,,6.732272e+02,8.864500e-01,3.998700e-02,2.104280e+01,7.842835e+03,6.437000e-11,1.000000e+00,2.950433e-03,5.084000e+06
Crocodylus_porosus,1.733444e-03,1.947159e-01,1.578007e+04,3.000000e-01,1.494737e-04,1.494737e-04,1.157895e-01,4.750000e+05,1.806076e-01,2.951500e+02,,False,,7.324583e+02,9.091900e-01,2.337600e-02,1.531620e+01,7.864994e+03,3.890000e-10,1.000000e+00,5.955801e-04,1.810000e+07
Ctenophorus_adelaidensis,1.662105e-02,6.736866e-02,6.294838e+02,3.000000e-01,1.074074e-01,1.074074e-01,4.629630e-01,5.400000e+00,1.429743e-02,3.031500e+02,,False,,2.481703e+02,9.083800e-01,1.718300e-02,1.577668e+02,7.838702e+03,5.139000e-08,1.000000e+00,9.626750e-02,2.572000e+03
Ctenophorus_ornatus,4.561383e-02,1.038872e-01,1.539823e+03,3.000000e-01,4.710089e-02,4.710089e-02,3.312899e-01,3.915000e+01,4.141013e-02,3.031500e+02,,False,,3.050411e+02,5.822500e-01,1.555200e-02,9.335620e+01,7.805840e+03,7.809000e-09,1.000000e+00,5.573576e-02,5.056000e+04
Cuora_flavomarginata,7.156115e-03,7.401404e-01,4.828215e+03,3.000000e-01,1.000000e-02,1.000000e-02,6.680000e-01,1.000000e+03,3.560322e-02,2.971500e+02,,False,,1.100735e+02,5.647800e-01,3.866000e-02,6.927800e+00,7.866447e+03,9.711000e-10,1.000000e+00,6.679005e-03,6.754000e+06
Cyprideis_torosa,2.739726e-02,3.013699e-01,5.860656e+02,1.700000e-01,2.250000e-03,2.250000e-03,5.150000e-01,1.176471e-04,6.227972e-02,2.881500e+02,,False,,6.367405e+00,9.901000e-01,4.121000e-03,2.588000e+02,4.442000e+03,2.150000e-06,1.399765e-01,1.608634e-02,4.239000e-03
Daphnia_pulex,1.070439e-01,2.403773e-01,5.400000e+01,1.700000e-01,1.529412e-02,1.529412e-02,1.117647e-01,1.000000e-02,7.000000e+00,2.931500e+02,,False,,5.208255e+02,4.378000e-01,4.889000e-02,1.599000e+03,4.448000e+03,7.909000e-05,1.000000e+00,6.622517e-02,3.926000e+00
Deania_calcea,4.058708e-02,3.977299e-01,5.565469e+04,2.000000e-01,1.322727e-02,1.322727e-02,7.272727e-01,6.600000e+03,6.715047e-03,2.781500e+02,,False,,7.149429e+02,7.070300e-01,7.392500e-02,3.758680e+01,5.219922e+03,3.080000e-08,1.000000e+00,1.069013e-02,7.274000e+06
Deania_calceus,4.058708e-02,3.977299e-01,5.565469e+04,2.000000e-01,1.322727e-02,1.322727e-02,7.272727e-01,6.600000e+03,6.715047e-03,2.781500e+02,,False,,7.149429e+02,7.070300e-01,7.392500e-02,3.758680e+01,5.219922e+03,3.080000e-08,1.000000e+00,1.069013e-02,7.274000e+06
Dendrobaena_octaedra,6.301370e-02,9.178082e-02,1.460000e+03,1.600000e-01,7.435233e-03,7.435233e-03,4.119171e-01,3.860000e-01,7.770000e-01,2.931500e+02,,False,,1.627087e+03,7.986100e-01,2.081100e-02,4.984113e+03,4.183129e+03,1.714000e-08,1.000000e+00,3.076281e-03,1.678000e+02
Dermatemys_mawii,4.818430e-02,6.676533e-01,1.997699e+03,3.000000e-01,1.418182e-03,1.418182e-03,4.818182e-01,2.200000e+04,2.262603e-01,3.011500e+02,,False,,5.841863e+02,7.996100e-01,1.259800e-02,3.138180e+01,7.823517e+03,8.179000e-09,1.000000e+00,2.180809e-03,5.044000e+06
Dicologlossa_cuneata,9.132420e-04,4.269406e-01,2.647396e+03,2.000000e-01,1.390989e-06,1.390989e-06,2.976615e-01,9.921000e+01,9.624797e+01,2.913500e+02,,False,,3.641489e+01,9.353800e-01,2.161900e-02,2.613100e+01,5.219388e+03,3.979000e-08,2.973554e-02,1.011706e-04,1.196000e+04
Dipodomys_stephensi,3.068848e-02,5.653229e-02,7.933072e+02,3.000000e-01,1.076923e-01,1.076923e-01,8.461538e-01,6.500000e+01,1.222729e-01,3.101500e+02,,True,,5.978847e+03,9.305600e-01,3.545200e-02,4.148901e+03,7.852485e+03,8.141000e-12,7.756859e-02,1.228685e-01,1.513000e+05
Egernia_cunninghami,3.069038e-03,4.711704e-02,1.243969e+04,3.000000e-01,2.127379e-02,2.127379e-02,5.535421e-01,3.633579e+02,2.765342e-02,2.981500e+02,,False,,4.724682e+02,7.625000e-01,1.183700e-02,8.437130e+01,7.779352e+03,1.845000e-10,1.000000e+00,1.303177e-02,3.714000e+05
Egernia_striolata,4.595121e-03,4.253551e-02,7.153308e+03,3.000000e-01,6.517477e-02,6.517477e-02,5.803625e-01,4.645970e+01,1.397955e-02,2.981500e+02,,False,,1.643588e+02,5.949000e-01,1.434600e-02,3.404730e+01,7.728243e+03,5.744000e-10,1.000000e+00,7.969142e-02,1.037000e+05
