species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,d_V,T_typical,f,t_0,model,completeness,s_M,metamorphosis,weaning,foetus,genus
Acanthodactylus_boskianus,1.590329e+02,4.721700e-01,2.270500e-02,5.966670e+01,7.828009e+03,2.763000e-08,8.533000e+02,,,1.563000e+04,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Lacertidae,Squamata,Reptilia,Chordata,B,THp,0iTh 0iTf,Tv,,bpCvr biCvm biSv,Dg,O Apa,2.071300e+02,,,,,5.274590e+03,,,,,,2.926869e-01,,,1.996629e+00,4.020000e+00,2.900000e+00,,,5.500000e+00,6.945000e+00,1.706294e-02,,,,3.000000e-01,2.881500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acanthodactylus
Acanthodactylus_harranensis,8.613410e+01,5.385500e-01,2.744500e-02,2.562280e+01,7.833816e+03,2.397000e-08,8.823000e+02,,,1.026000e+04,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Lacertidae,Squamata,Reptilia,Chordata,BSk,THp,0iTd 0iTa,Tt,,bpCvr biCvm biSv,Dg,O Apa,2.071300e+02,,,,,5.860656e+03,,,,,,2.930112e-01,,,1.998841e+00,8.700000e+00,2.900000e+00,,,5.500000e+00,8.980000e+00,1.706294e-02,,,,3.000000e-01,2.881500e+02,1.000000e+00,,std,2.200000e+00,1.000000e+00,False,False,False,Acanthodactylus
Acanthopagrus_arabicus,1.149410e+02,8.161300e-01,1.944400e-02,1.455000e+01,5.241339e+03,1.474000e-09,1.168000e-01,2.731000e-01,,1.021000e+05,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,2.859242e+00,,,,,2.656496e+03,,,,,,2.200000e-04,,,1.730000e+02,1.500000e+03,,,,2.000000e+01,4.200000e+01,5.270101e+03,,,,2.000000e-01,3.003500e+02,1.000000e+00,,abj,1.800000e+00,1.326817e+00,True,False,False,Acanthopagrus
Acanthopagrus_australis,1.899408e+02,7.433900e-01,1.720200e-02,1.459040e+01,5.225575e+03,4.936000e-09,1.155000e-01,1.691000e-01,,1.752000e+05,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MPSW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,3.575561e+00,,,,,3.322021e+03,,,,,,2.200000e-04,,,2.067618e+02,4.300000e+03,,,,2.400000e+01,6.600000e+01,1.264291e+04,,,,2.000000e-01,2.978500e+02,1.000000e+00,,abj,2.500000e+00,1.135356e+00,True,False,False,Acanthopagrus
Acarichthys_heckelii,2.032896e+03,9.598800e-01,3.194500e-02,7.378011e+02,5.229252e+03,9.528000e-09,3.063000e-02,,,6.861000e+03,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Cichlidae,Cichliformes,Actinopterygii,Chordata,A,TN,biFr,Fnf,Mp,biPz,D,O,1.985823e+00,,,,6.060071e+02,1.449651e+03,,,,,6.040213e+02,1.800000e-03,,,4.700000e+01,2.760000e+02,,,,1.200000e+01,2.000000e+01,1.439602e+02,,,,2.000000e-01,2.976500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acarichthys
Accipiter_cooperii,1.508098e+03,9.739400e-01,4.893700e-02,3.296518e+02,7.319213e+03,9.317000e-13,1.324000e+03,,1.019000e+04,3.485000e+04,1.347900e-02,9.500000e-01,8.000000e-01,1.000000e-01,Accipitridae,Accipitriformes,Aves,Chordata,BW BS Csa Cfa Dfa,THn,0iTh 0iTi 0iTf,Tnpf,Ms,biCi biCv,Dg,O,4.491190e+00,,,8.009884e+00,1.504727e+01,1.042870e+03,,,,3.518694e+00,1.055608e+01,2.200000e+01,,,4.921000e+02,5.180000e+02,,,,,,7.786202e-02,,,,2.800000e-01,3.131500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Accipiter
Accipiter_fasciatus,2.725279e+03,9.876800e-01,1.844800e-02,9.260341e+02,7.321834e+03,4.378000e-12,1.363000e+02,,1.066000e+03,3.824000e+03,3.807000e-02,9.500000e-01,8.000000e-01,1.000000e-01,Accipitridae,Accipitriformes,Aves,Chordata,A B C,TA,0iFm 0iTh,Tnpf,,biCvb biCvm biCva biCii,Dg,O,6.124350e+00,,,1.041716e+01,1.900277e+01,1.027459e+03,,,,4.292806e+00,1.287842e+01,1.400000e+01,,,5.510000e+02,5.800000e+02,,,,,,5.839651e-02,,,,2.800000e-01,3.131500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Accipiter
Accipiter_nisus,2.367240e+03,9.621300e-01,1.906700e-02,9.137052e+02,7.320262e+03,3.455000e-12,6.175000e+02,,2.699000e+03,7.858000e+03,3.751300e-02,9.500000e-01,8.000000e-01,1.000000e-01,Accipitridae,Accipitriformes,Aves,Chordata,B C D,THp,0iFm 0iTh,Tnpf,Ml,biCvb biCvm biCva biCii,Dg,O,6.736785e+00,,,1.011473e+01,1.687062e+01,1.037733e+03,,,,3.377946e+00,1.013384e+01,1.650000e+01,,,2.945000e+02,3.100000e+02,,,,,,8.759477e-02,,,,2.800000e-01,3.131500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Accipiter
Achoerodus_gouldii,1.299555e+02,9.581100e-01,2.102200e-02,1.051850e+01,5.180287e+03,4.275000e-10,2.823000e-02,1.370000e-01,,9.416000e+05,1.748300e-03,9.500000e-01,8.000000e-01,1.000000e-01,Labridae,Labriformes,Actinopterygii,Chordata,MB,MIE,0jMp jiMr,Mp,,bjPz jiCi jiCvf,Hsff,O,1.124464e+01,,,,6.480465e+03,3.024217e+04,,,,,,2.700000e-04,,,7.639097e+03,2.000000e+04,,,,6.530000e+01,9.000000e+01,9.325997e+02,,,,2.000000e-01,2.913500e+02,1.000000e+00,,abj,2.500000e+00,1.692806e+00,True,False,False,Achoerodus
Achoerodus_viridis,1.481794e+02,5.215400e-01,9.932900e-02,5.697500e+00,5.238883e+03,2.801000e-10,3.065000e-01,3.066000e-01,,3.105000e+05,3.253000e-04,9.500000e-01,8.000000e-01,1.000000e-01,Labridae,Labriformes,Actinopterygii,Chordata,MB,MPSW,0jMp jiMr,Mp,,bjPz jiCi jiCvf,Hsff,O,2.195824e+00,,,,1.095000e+03,1.277500e+04,,,,,,2.604167e-04,,,7.000000e+01,3.600000e+03,3.000000e-01,,,2.000000e+01,7.200000e+01,9.589041e+03,,,,2.000000e-01,2.931500e+02,1.000000e+00,,abj,2.000000e+00,1.000109e+00,True,False,False,Achoerodus
Achondrostoma_arcasii,9.676464e+01,9.692000e-01,2.490000e-02,1.765850e+01,5.236769e+03,2.913000e-08,8.260000e-02,9.329000e-02,,1.845000e+02,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFp 0iFm,Fh,Mp,biCi jiHl jiD,D,O,2.729620e+01,,,,,8.204918e+03,,,,,,9.000000e-04,,,7.600000e-01,1.620000e+02,,,,4.400000e+00,2.500000e+01,7.379720e+00,,,,2.000000e-01,2.881500e+02,1.000000e+00,,abj,2.500000e+00,1.041193e+00,True,False,False,Achondrostoma
Acipenser_baerii,6.547930e+02,6.993700e-01,1.378400e-02,2.116890e+01,5.223337e+03,2.726000e-09,2.006000e+00,,,2.833000e+06,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Dfb Dfc,THp,0iFr,Fg,Mp,biCi biCvf,D,O,4.445217e+01,,,,6.573385e+03,3.917359e+04,,,,,6.528932e+03,9.200000e-03,,,9.000000e+03,8.530000e+04,,,,1.065000e+02,2.000000e+02,5.870025e+02,,,,2.000000e-01,2.881500e+02,1.000000e+00,,std,2.300000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_gueldenstaedtii,1.987531e+04,5.622900e-01,3.223300e-02,1.183176e+03,5.232555e+03,1.804000e-09,2.392000e+00,,,2.821000e+08,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,MB,MAm THp,0iMcd 0iFr,Fg,Mda,biCi biCvf,D,O,1.312793e+01,1.123961e+01,,,7.618852e+03,2.285656e+04,,,,,,5.102457e-02,,,1.164501e+04,1.150000e+05,1.800000e+00,,,1.100000e+02,2.360000e+02,3.646501e+02,,,,2.000000e-01,2.881500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_medirostris,8.894127e+02,4.736800e-01,6.287100e-02,1.445010e+01,5.238784e+03,1.397000e-09,5.705000e+01,,,3.619000e+07,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,MC BSk Dfc,MPNE MPNW TH,0iMcd 0iFr,Fg,Mda,biCi biCvf,D,O,3.899034e+01,,,,,4.269442e+04,,,,,,4.310000e-02,,,2.719060e+04,1.170000e+05,,,,1.660000e+02,2.700000e+02,3.400913e+02,,,,2.000000e-01,2.861500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_persicus,5.620473e+02,5.657100e-01,4.375900e-02,1.232640e+01,5.242185e+03,8.726000e-10,5.233000e+01,,,3.613000e+07,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,MB BWk BSk,MAm THp,0iMcd 0iFr,Fg,Mda,biCi biCvf,D,O,1.367098e+01,6.000000e+00,,,3.640523e+03,1.423500e+04,,,,,,9.765937e-02,,,2.800000e+04,7.000000e+04,2.570000e+00,,,1.550000e+02,2.300000e+02,3.013000e+02,,,,2.000000e-01,2.931500e+02,1.000000e+00,,std,1.800000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_ruthenus,2.214462e+02,7.804000e-01,5.178900e-02,1.187580e+01,5.279748e+03,1.871000e-08,9.868000e-01,,,2.740000e+05,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Dfb,THp,0iFr,Fg,Mp,biCi,D,O,1.284527e+01,,,,4.094431e+03,2.254813e+04,,,,,,1.400000e-03,,,2.920000e+02,6.400000e+03,6.500000e-01,,,4.200000e+01,1.200000e+02,1.842797e+02,,,,2.000000e-01,2.881500e+02,1.000000e+00,,std,1.800000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_stellatus,9.256682e+03,6.059800e-01,2.526900e-02,5.653746e+02,5.230390e+03,6.534000e-09,2.578000e+00,,,1.506000e+08,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,MB BWk BSk Dfb,MAm THp,0iMcd 0iFr,Fg,Mda,biCi biCvf,D,O,1.097912e+01,7.237107e+00,,,4.380000e+03,9.245404e+03,,,,,,4.381668e-02,,,1.298272e+04,8.000000e+04,1.800000e+00,,,1.200000e+02,2.200000e+02,2.465000e+02,,,,2.000000e-01,2.911500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_sturio,8.457356e+02,8.373000e-01,3.179000e-02,1.728000e+01,5.232000e+03,2.688000e-10,2.555000e+00,7.648000e+01,,7.761000e+06,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,MC,MAE THp,0iMcd 0iFr,Fg,Ma Mda,biCi,D,O,1.929895e+01,3.000000e+00,8.353760e+01,,5.110000e+03,7.032787e+04,,,,,,1.242000e-02,3.353400e-01,,1.242000e+04,4.600000e+05,1.500000e+00,4.500000e+00,,1.500000e+02,5.000000e+02,9.341958e+02,,,,2.000000e-01,2.931500e+02,1.000000e+00,,std,1.200000e+00,1.000000e+00,False,False,False,Acipenser
Acipenser_transmontanus,9.443777e+02,4.500000e-01,6.326700e-02,7.406600e+00,5.250520e+03,4.692000e-10,3.057000e+01,,,8.870000e+07,4.054800e-04,9.500000e-01,8.000000e-01,1.000000e-01,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,MC BSk Dfc,MPNE THn,0iMcd 0iFr,Fg,Mda,biCi biCvf,D,O,3.070489e+01,1.705827e+01,,,9.281163e+03,7.684996e+04,,,,,9.250458e+03,2.240000e-02,,,5.309630e+04,8.160000e+05,1.200000e+00,,,1.600000e+02,6.100000e+02,2.810672e+02,,,,2.000000e-01,2.861500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acipenser
Acridotheres_cristatellus,2.559602e+03,9.187600e-01,3.272200e-02,1.128490e+03,7.322500e+03,2.162000e-12,6.995000e+02,,8.801000e+03,1.798000e+04,4.585000e-02,9.500000e-01,8.000000e-01,1.000000e-01,Sturnidae,Passeriformes,Aves,Chordata,A Cwa Cfa,TPi,0iTi 0iTs,Tnwfm,,biCi,Dg,O,3.062175e+00,,,6.345816e+00,1.291310e+01,5.326795e+02,,,,3.283641e+00,9.850923e+00,6.900000e+00,,,1.106750e+02,1.165000e+02,,,,,,9.574237e-02,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.600000e+00,1.000000e+00,False,False,False,Acridotheres
Acridotheres_tristis,1.775277e+03,9.129000e-01,2.822500e-02,7.391793e+02,7.325496e+03,3.910000e-11,5.941000e+02,,6.747000e+03,1.888000e+04,3.017000e-02,9.500000e-01,8.000000e-01,1.000000e-01,Sturnidae,Passeriformes,Aves,Chordata,A BWh Cfa Cfb,TPi TOh TA,0iTi 0iTs,Tnwfm,,biCi,Dg,O,3.572537e+00,,,6.369713e+00,1.196406e+01,2.663398e+02,,,,2.797176e+00,8.391527e+00,4.200000e+00,,,1.073500e+02,1.130000e+02,,,,,,3.041228e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acridotheres
Acrocephalus_arundinaceus,1.502734e+03,9.575500e-01,2.999400e-02,1.007170e+03,7.332645e+03,6.244000e-12,1.657000e+02,,9.917000e+02,2.506000e+03,3.918900e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acrocephalidae,Passeriformes,Aves,Chordata,BSk Cfb Dfb,THp,0iFm,Tnpf,Ml,biCi,Dg,O,2.858030e+00,,,4.439042e+00,7.601067e+00,4.483386e+02,,,,1.581012e+00,4.743037e+00,2.000000e+00,,,2.441500e+01,2.570000e+01,,,,,,1.126381e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acrocephalus
Acrocephalus_melanopogon,1.424778e+03,9.596000e-01,3.369400e-02,1.141155e+03,7.321129e+03,3.145000e-12,9.487000e+01,,6.459000e+02,1.474000e+03,4.651200e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acrocephalidae,Passeriformes,Aves,Chordata,BSk BSk Dfa,THp,0iFm,Tnpf,Ml,biCi,Dg,O,2.143522e+00,,,3.602918e+00,6.521710e+00,4.927286e+02,,,,1.459396e+00,4.378188e+00,1.100000e+00,,,1.197000e+01,1.260000e+01,,,,,,9.011046e-02,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acrocephalus
Acrocephalus_palustris,1.204669e+03,9.543100e-01,3.446800e-02,9.159652e+02,7.329676e+03,4.759000e-12,1.328000e+02,,8.051000e+02,1.868000e+03,3.727500e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acrocephalidae,Passeriformes,Aves,Chordata,Cfb Dfa Dfb Dfc,THp,0iFm,Tnpf,Ml,biCi,Dg,O,2.347667e+00,,,3.807063e+00,6.725855e+00,4.350216e+02,,,,1.459396e+00,4.378188e+00,1.200000e+00,,,1.197000e+01,1.260000e+01,,,,,,9.912151e-02,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acrocephalus
Acrocephalus_scirpaceus,9.285087e+02,9.722900e-01,3.550300e-02,6.852738e+02,7.310704e+03,4.630000e-12,7.005000e+01,,4.642000e+02,1.183000e+03,2.800700e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acrocephalidae,Passeriformes,Aves,Chordata,BSk Cfb Dfb,THp,0iFm,Tnpf,Ml,biCi,Dg,O,2.143522e+00,,,3.602918e+00,6.521710e+00,4.483386e+02,,,,1.459396e+00,4.378188e+00,1.000000e+00,,,1.045000e+01,1.100000e+01,,,,,,9.011046e-02,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acrocephalus
Acrocheilus_alutaceus,5.631580e+01,9.655600e-01,8.210700e-02,1.597470e+01,5.197133e+03,3.234000e-08,1.888000e-01,1.458000e+00,,6.049000e+03,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Dsb Dfc,THn,0iFr 0iFl,Ft,Mp,bpCi jiHa,D,O,7.408694e+00,,,,1.681820e+03,3.906959e+03,,,,,1.674411e+03,1.200000e-03,,,3.140000e+01,3.416000e+02,,,,1.400000e+01,3.000000e+01,1.110839e+01,,,,2.000000e-01,2.891500e+02,1.000000e+00,,abj,2.500000e+00,1.971461e+00,True,False,False,Acrocheilus
Acroteriobatus_annulatus,2.098990e+02,9.148200e-01,1.940300e-02,1.435780e+01,5.236082e+03,1.013000e-07,3.888000e+03,,,1.329000e+05,2.000900e-03,9.500000e-01,8.000000e-01,1.000000e-01,Rhinobatidae,Rhinopristiformes,Chondrichthyes,Chordata,MB,MAE,0iMcd,Mv,,biCi biCvf,D,O,2.281560e+02,,,,,2.123638e+03,,,,,,3.547230e+01,,,7.464953e+02,8.000000e+03,2.300000e+01,,,6.350000e+01,1.400000e+02,2.966607e-02,,,,2.000000e-01,2.951500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acroteriobatus
Actinonaias_ligamentina,3.595064e+01,9.833500e-01,3.880600e-03,1.486380e+01,2.354299e+03,9.080000e-10,3.811000e-06,9.108000e-06,,5.763000e+01,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Unionidae,Unionoida,Bivalvia,Mollusca,Cfa Dfa,THn,0jFp jiFr jiFl,Fbb,,bjTvf jiPp,D,O,2.247923e+01,,,,2.201147e+03,1.567927e+04,,,,,2.178667e+03,5.300000e-07,,,2.500000e+01,1.017000e+03,2.540000e-02,,,5.850000e+00,1.840000e+01,2.663704e+03,,,,9.000000e-02,2.881500e+02,1.000000e+00,7.985400e+00,abj,2.500000e+00,1.336459e+00,True,False,False,Actinonaias
