Row,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,d_V,T_typical,f,t_0,model,completeness
Acanthisitta_chloris,726.2339360865,0.68624,0.019297,491.9751,7319.9021,7.532e-13,973.2,NaN,5615,10580,0.020054,0.95,0.8,0.1,Acanthisittidae,Passeriformes,Aves,Chordata,Cfb,TAz,0iTf,Tnwfm Tntfm,,biCii,Dg,O,4.08289982189395,NaN,NaN,NaN,NaN,443.899619700011,NaN,NaN,NaN,2.91879201994528,8.75637605983584,1,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,0.135165693632601,NaN,NaN,NaN,0.28,314.75,1,NaN,std,2.5
Acanthiza_chrysorrhoa,1535.98633062201,0.8778,0.024775,935.9217,7323.4764,1.093e-11,644.9,NaN,3886,8467,0.038265,0.95,0.8,0.1,Acanthizidae,Passeriformes,Aves,Chordata,BWh BSh Cfb Cfc,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.5725373441572,NaN,NaN,NaN,NaN,399.50965773001,NaN,NaN,NaN,2.31071034912335,6.93213104737004,3,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,0.157693309238035,NaN,NaN,NaN,0.28,314.75,1,NaN,std,2.5
Acanthiza_inornata,1307.57594985947,0.84323,0.023926,840.1305,7319.1169,1.023e-11,965.4,NaN,4197,8419,0.034851,0.95,0.8,0.1,Acanthizidae,Passeriformes,Aves,Chordata,BSk Csa Csb,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.87875483079925,NaN,NaN,NaN,NaN,399.50965773001,NaN,NaN,NaN,2.12828584787677,6.3848575436303,3,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,0.135165693632601,NaN,NaN,NaN,0.28,314.75,1,NaN,std,2.5
Acanthochaenus_luetkenii,415.863993388467,0.88633,0.026331,172.2879,5226.5825,8.749e-07,0.1123,NaN,NaN,1349,0.002,0.95,0.8,0.1,Stephanoberycidae,Beryciformes,Actinopterygii,Chordata,MA MB MC,MC,0jMp jiMpb,Mp,Mo,bjPz jiCi jiCvf,D,O,NaN,NaN,NaN,NaN,NaN,26109.919766054,NaN,NaN,NaN,NaN,NaN,0.0007,NaN,NaN,NaN,43.9,NaN,NaN,NaN,7,15.2,1.63156380340107,NaN,NaN,NaN,0.2,275.15,1,NaN,std,2.5
Acanthochromis_polyacanthus,30.4835986630204,0.9873,0.020374,26.5682,5220.4722,3.663e-10,0.2311,19.52,NaN,644.3,0.002,0.95,0.8,0.1,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MA,MPW,0iMc 0iMr,Mnm,,biCi,D,O,8.09963612898101,NaN,NaN,NaN,NaN,2217.27539030855,NaN,NaN,NaN,NaN,NaN,0.0044,NaN,NaN,9.8,152,NaN,NaN,NaN,6.5,16,5.95325238249414,NaN,NaN,NaN,0.2,300.65,1,NaN,abj,2.5
Acanthoclinus_littoreus,64.8023059131931,0.73243,0.023423,21.2782,5220.2501,2.458e-08,0.6132,1.716,NaN,17030,0.002,0.95,0.68,0.1,Plesiopidae,OvalentariaIncSed,Actinopterygii,Chordata,MB,MPSW,0jMp jiMcd,Mnm,Mo,bjPz jiCi jiCvf,D,O,20.5529027084842,NaN,NaN,NaN,NaN,4233.58985447173,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,10.1,49,NaN,NaN,NaN,12,20,66.7612440210513,NaN,NaN,NaN,0.2,290.45,1,NaN,abj,3.5
Acanthocobitis_mooreh,13.8742865036981,0.89506,0.021154,19.0869,5223.7384,5.897e-10,0.06225,0.7364,NaN,567.3,0.0022607,0.95,0.8,0.1,Nemacheilidae,Cypriniformes,Actinopterygii,Chordata,Af,TPi,0iFm 0iFp,Fh,Mp,biCi,D,O,NaN,NaN,NaN,NaN,NaN,1427.01493117148,NaN,NaN,NaN,NaN,NaN,0.000113,NaN,NaN,0.82,3.5,NaN,NaN,NaN,3.7,6,33.6366487494251,NaN,NaN,NaN,0.2,300.15,1,NaN,abj,2.5
Acanthocybium_solandri,402.107856508151,0.97908,0.033013,50.9355,5230.7795,4.925e-09,0.01886,1.244,NaN,344000,0.002,0.95,0.8,0.1,Scombridae,Scombriformes,Actinopterygii,Chordata,MA MB,MC,0jMp jiMr,Mp,Mo,bjPz jiCi jiCvf,D,O,2.17663996533398,NaN,NaN,NaN,NaN,2269.92453527687,NaN,NaN,NaN,NaN,NaN,0.0006,NaN,NaN,6000,112600,NaN,NaN,NaN,99.3,250,26432.5967967396,NaN,NaN,NaN,0.2,297.85,1,NaN,abj,2.5
Acanthocyclops_robustus,18.4517515571525,0.91982,0.011912,1391.0573,4447.5726,1.683e-05,6.14e-05,0.001071,NaN,0.01236,0.002,0.95,0.8,0.1,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Cfb Dfb Dfc,TH,0iFp 0iFl 0iFm,Fbf,,biP biCi,D,O,NaN,NaN,NaN,NaN,NaN,84.340706546802,NaN,NaN,13.4306684022534,NaN,NaN,2.9e-07,1.92352941176471e-06,NaN,1.95294117647059e-05,1.95294117647059e-05,0.012,0.037,NaN,0.147,0.147,32.6058449424298,NaN,NaN,NaN,0.17,293.15,1,NaN,abp,2.6
Acanthodactylus_boskianus,159.032852468391,0.47217,0.022705,59.6667,7828.0088,2.763e-08,853.3,NaN,NaN,15630,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,B,THp,0iTh 0iTf,Tv,,bpCvr biCvm biSv,Dg,O Apa,207.130024444862,NaN,NaN,NaN,NaN,5274.59015737498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.02,2.9,NaN,NaN,5.5,6.945,0.0170629370841564,NaN,NaN,NaN,0.3,288.15,1,NaN,std,2.5
Acanthodactylus_erythrurus,98.0901587220837,0.78628,0.024034,49.282,7827.0006,1.812e-07,492.7,NaN,NaN,4660,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,BSk Csa,THp,0iTg,Tt,,biCi,Dg,O,NaN,NaN,NaN,NaN,NaN,461.920419574917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14,2.95,NaN,NaN,5.5,7.5,0.0303082509599457,NaN,NaN,NaN,0.3,298.15,1,NaN,std,2.8
Acanthodactylus_harranensis,86.1340954786,0.53855,0.027445,25.6228,7833.8156,2.397e-08,882.3,NaN,NaN,10260,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,BSk,THp,0iTd 0iTa,Tt,,bpCvr biCvm biSv,Dg,O Apa,207.130024444862,NaN,NaN,NaN,NaN,5860.65573041664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,2.9,NaN,NaN,5.5,8.98,0.0170629370841564,NaN,NaN,NaN,0.3,288.15,1,NaN,std,2.2
Acanthopagrus_arabicus,114.940953034443,0.81613,0.019444,14.55,5241.3387,1.474e-09,0.1168,0.2731,NaN,102100,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,2.85924188480351,NaN,NaN,NaN,NaN,2656.4956420629,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,173,1500,NaN,NaN,NaN,20,42,5270.10087211297,NaN,NaN,NaN,0.2,300.35,1,NaN,abj,1.8
Acanthopagrus_australis,189.940751207307,0.74339,0.017202,14.5904,5225.5749,4.936e-09,0.1155,0.1691,NaN,175200,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MPSW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,3.5755606850725,NaN,NaN,NaN,NaN,3322.02092740372,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,NaN,4300,NaN,NaN,NaN,24,66,12642.9065071617,NaN,NaN,NaN,0.2,297.85,1,NaN,abj,2.5
Acanthopagrus_berda,325.432974938016,0.93169,0.044806,27.3158,5226.948,1.646e-09,0.0272,0.02721,NaN,42040,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MI,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,0.963883647529878,NaN,NaN,NaN,NaN,3031.04334700165,NaN,NaN,NaN,NaN,248.978560646564,0.00022,NaN,NaN,NaN,3200,0.18,NaN,NaN,20,90,NaN,NaN,0.05,NaN,0.2,298.87,1,NaN,abj,1.8
Acanthopagrus_bifasciatus,123.461789885396,0.9511,0.021124,20.6566,5238.799,2.668e-10,0.02619,0.04946,NaN,59870,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,4029.19817302812,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,314,818,NaN,NaN,NaN,26.4,36.2,NaN,NaN,0.05,NaN,0.2,300.75,1,NaN,abj,2.1
Acanthopagrus_butcheri,254.980194230156,0.53277,0.027548,17.1748,5228.4481,2.028e-09,0.3297,0.7487,NaN,104200,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MB,MIS,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,13259.3346825641,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,58,3200,NaN,NaN,NaN,16,60,6561.41519034166,NaN,NaN,NaN,0.2,290.75,1,NaN,abj,2.1
Acanthopagrus_latus,397.769314292278,0.52238,0.029954,39.592,5215.9072,2.807e-09,0.2695,0.7014,NaN,1023000,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MB,MPE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,1677.7447954986,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,371,896,NaN,NaN,NaN,29.7,40,NaN,NaN,NaN,NaN,0.2,300.55,1,NaN,abj,2.5
Acanthopagrus_schlegelii,200.862748425637,0.95753,0.024366,28.717,5229.065,1.177e-08,0.01842,0.06795,NaN,13000,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MPSE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,2337.82527793085,NaN,NaN,NaN,NaN,259.758364214539,0.00022,NaN,NaN,NaN,3200,NaN,NaN,NaN,20,50,NaN,NaN,0.05,NaN,0.2,296.85,1,NaN,abj,2.1
Acanthophis_antarcticus,190.342192204097,0.92074,0.020553,18.4435,7844.7338,5.045e-09,1744,NaN,NaN,17100,0.002,0.95,0.8,0.1,Elapidae,Squamata,Reptilia,Chordata,BWh BWk BSh Cfa Cfb,TA,biTf biTh biTg,Tv,,biCv,Dg,O,NaN,NaN,NaN,NaN,NaN,1573.30002740555,NaN,NaN,NaN,NaN,NaN,5.84,NaN,NaN,NaN,NaN,15,NaN,NaN,30,100,0.120587298477873,NaN,NaN,NaN,0.3,301.65,1,NaN,std,2.6
Acanthurus_bahianus,16.1990821196325,0.96111,0.019014,17.4518,5218.0037,1.376e-11,0.03255,3.019,NaN,1806,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MA,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,5657.20180931483,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,8.4,76.4,NaN,NaN,NaN,8,17,NaN,NaN,0.09,NaN,0.2,301.15,1,NaN,abj,2.4
Acanthurus_leucosternon,148.148844863958,0.92435,0.021324,18.2275,5222.1355,4.307e-11,0.03086,0.07232,NaN,9191,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,8314.78271365706,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,45.7,2500,NaN,NaN,NaN,13.8,54,5953.25238249414,NaN,NaN,NaN,0.2,300.65,1,NaN,abj,2.4
Acanthurus_lineatus,57.205423176663,0.96019,0.020062,18.3118,5229.9,1.628e-11,0.02423,1.096,NaN,44510,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,7955.44004434898,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,260,1943,NaN,NaN,NaN,18,38,3620.16429505463,NaN,NaN,NaN,0.2,301.15,1,NaN,abj,2.2
Acanthurus_nigricans,54.9796039954588,0.96009,0.022005,22.3904,5219.1526,3.108e-11,0.02484,1.192,NaN,23460,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,6338.14700521692,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,125,955,NaN,NaN,NaN,18,36,NaN,NaN,0.09,NaN,0.2,300.55,1,NaN,abj,2.2
Acanthurus_nigricauda,137.529949622325,0.9532,0.021202,21.8006,5225.8199,2.885e-11,0.01922,0.06685,NaN,18430,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,7679.99010517926,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,126,1800,NaN,NaN,NaN,18.4,45.3,3750.00483146166,NaN,NaN,NaN,0.2,301.55,1,NaN,abj,2.4
Acanthurus_nigrofuscus,32.3298042236726,0.95604,0.019323,19.3991,5230.1851,5.69e-11,0.03176,1.205,NaN,9242,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,4538.32995237718,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,39.3,206,NaN,NaN,NaN,12,21,NaN,NaN,0.09,NaN,0.2,300.85,1,NaN,abj,2.2
Acanthurus_olivaceus,57.8384700487542,0.96607,0.02056,20.0043,5226.8005,3.141e-11,0.0206,1.18,NaN,9305,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MIE MPW,0jMp jiMr,Mp,,bjPz jiHa,D,O,NaN,NaN,NaN,NaN,NaN,6187.5644789381,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,68,2003,NaN,NaN,NaN,11.55,35,3733.29442927509,NaN,NaN,NaN,0.2,301.15,1,NaN,abj,2.2
Acanthurus_triostegus,85.4898845290119,0.98856,0.024757,58.4655,5227.1839,6.959e-12,0.005593,0.4521,NaN,729.6,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,8241.54171755751,NaN,NaN,NaN,NaN,NaN,0.000157,NaN,NaN,15,414,NaN,NaN,NaN,8.8,27,747.357134269947,NaN,NaN,NaN,0.2,300.75,1,NaN,abj,2.5
Acarichthys_heckelii,2032.89614251781,0.95988,0.031945,737.8011,5229.2515,9.528e-09,0.03063,NaN,NaN,6861,0.002,0.95,0.8,0.1,Cichlidae,Cichliformes,Actinopterygii,Chordata,A,TN,biFr,Fnf,Mp,biPz,D,O,1.98582346516608,NaN,NaN,NaN,NaN,1449.65112957124,NaN,NaN,NaN,NaN,604.021303988018,0.0018,NaN,NaN,47,276,NaN,NaN,NaN,12,20,143.960154097023,NaN,NaN,NaN,0.2,297.65,1,NaN,std,2.5
Accipiter_cooperii,1508.09758309547,0.97394,0.048937,329.6518,7319.2128,9.317e-13,1324,NaN,10190,34850,0.013479,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,BW BS Csa Cfa Dfa,THn,0iTh 0iTi 0iTf,Tnpf,Ms,biCi biCv,Dg,O,4.49118980408334,NaN,NaN,NaN,NaN,1042.87048366738,NaN,NaN,NaN,3.51869385136441,10.5560815540932,22,NaN,NaN,NaN,518,NaN,NaN,NaN,NaN,NaN,0.0778620176442716,NaN,NaN,NaN,0.28,313.15,1,NaN,std,2.5
Accipiter_fasciatus,2725.2787527033,0.98768,0.018448,926.0341,7321.834,4.378e-12,136.3,NaN,1066,3824,0.03807,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,A B C,TA,0iFm 0iTh,Tnpf,,biCvb biCvm biCva biCii,Dg,O,6.12434973284092,NaN,NaN,NaN,NaN,1027.45860459841,NaN,NaN,NaN,4.29280649866458,12.8784194959938,14,NaN,NaN,NaN,580,NaN,NaN,NaN,NaN,NaN,0.0583965132332037,NaN,NaN,NaN,0.28,313.15,1,NaN,std,2.5
Accipiter_nisus,2367.24034386206,0.96213,0.019067,913.7052,7320.2617,3.455e-12,617.5,NaN,2699,7858,0.037513,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,B C D,THp,0iFm 0iTh,Tnpf,Ml,biCvb biCvm biCva biCii,Dg,O,6.73678470612501,NaN,NaN,NaN,NaN,1037.73319064439,NaN,NaN,NaN,3.37794609730984,10.1338382919295,16.5,NaN,NaN,NaN,310,NaN,NaN,NaN,NaN,NaN,0.0875947698498056,NaN,NaN,NaN,0.28,313.15,1,NaN,std,2.5
Accipiter_striatus,1413.75613305971,0.93071,0.021476,526.5294,7324.0346,3.178e-12,1529,NaN,7395,19180,0.021559,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,B C D,THp,0iFm 0iTh,Tnsf,,biCvb biCvm biCva biCii,Dg,O,6.94092969721971,NaN,NaN,NaN,NaN,1022.32131157542,NaN,NaN,NaN,4.2224326216373,12.6672978649119,NaN,NaN,NaN,NaN,172,NaN,NaN,NaN,NaN,NaN,0.0778620176442716,NaN,NaN,NaN,0.28,313.15,1,NaN,std,2.5
Achatina_achatina,29.9057343240642,0.96629,0.069078,23.3913,3917.9964,2.316e-10,2.885,217.8,NaN,6623,0.002,0.475,0.8,0.1,Achatinidae,Pulmonata,Gastropoda,Mollusca,A,TPa,0iTf 0iTi 0iTg,Tt,,biHl,Hh,O,5.29171136136943,NaN,NaN,NaN,NaN,1931.47464689984,NaN,NaN,NaN,NaN,177.536916173944,NaN,NaN,NaN,NaN,NaN,0.6,NaN,NaN,NaN,11,1.55321738486975,NaN,NaN,NaN,0.15,300.15,1,NaN,abj,2.5
Achirus_mazatlanus,47.5059833650238,0.98347,0.021551,31.5958,5220.3452,6.948e-10,0.01612,0.7831,NaN,1518,0.0018044,0.95,0.8,0.1,Achiridae,Pleuronectiformes,Actinopterygii,Chordata,MA,MPE TN,0jMp jiMcd 0iFe 0iMm,Mp,Ma,bjPz jiCi,D,O,NaN,NaN,NaN,NaN,NaN,2556.82462476923,NaN,NaN,NaN,NaN,NaN,0.000268,NaN,NaN,17.8,228.8,NaN,NaN,NaN,10,22.5,159.572931223949,NaN,NaN,NaN,0.2,297.85,1,NaN,abj,2.5
Achoerodus_gouldii,129.955529010239,0.95811,0.021022,10.5185,5180.2868,4.275e-10,0.02823,0.137,NaN,941600,0.0017483,0.95,0.8,0.1,Labridae,Labriformes,Actinopterygii,Chordata,MB,MIE,0jMp jiMr,Mp,,bjPz jiCi jiCvf,Hsff,O,11.2446425668134,NaN,NaN,NaN,6480.46505824243,30242.170271798,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,NaN,20000,NaN,NaN,NaN,65.3,90,932.59973561822,NaN,NaN,NaN,0.2,291.35,1,NaN,abj,2.5
