Row,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,estim_z,estim_kap,estim_v,estim_p_M,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,d_V,T_typical,f,t_0,model,completeness
Acanthaster_planci,16.0582860194403,0.51028,0.00044905,14.6234,2352.8882,1.947e-09,0.0001469,0.03924,NaN,5171,0.002,0.95,0.6,0.1,Acanthasteridae,Valvatida,Asteroidea,Echinodermata,MA,MP MI,0jMcp jiMb,Mp,,biPz bjCia,D,O,NaN,NaN,16.8561944389828,NaN,NaN,2752.43911826021,NaN,NaN,NaN,NaN,323.816366854143,1.7e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,70,NaN,NaN,0.22,NaN,1,1,1,1,0,1,1,1,0.09,302.15,1,NaN,abj,2.6
Acanthis_flammea,3277.71039558501,0.878972838832011,0.0265710185782057,3230.1478427485,7323.22045853033,2.0906869270814e-12,173.945982041512,NaN,1004.63621631533,2067.4514925579,0.132495769097418,0.95,0.8,0.1,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTht 0iThh,Tnpf,Ml,biCi biHs,Dg,O,2.04144991094697,NaN,NaN,NaN,NaN,541.557536034014,NaN,NaN,NaN,1.33777967580825,4.01333902742476,1.3,NaN,NaN,NaN,14.2,NaN,NaN,NaN,NaN,NaN,0.225276156054336,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.75,1,NaN,std,2.5
Acanthis_hornemanni,2295.936603808,0.922023127193393,0.0270403330017007,2184.93507639117,7323.53061037161,1.66194396697188e-12,143.060638426106,NaN,855.181714441662,1675.57041869699,0.0890915953060663,0.95,0.8,0.1,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTf,Tnpf,Ml,biCi biHn biHs,Dg,O,2.24559490204167,NaN,NaN,NaN,NaN,301.851741396008,NaN,NaN,NaN,1.58101234413703,4.74303703241108,1.3,NaN,NaN,NaN,12.7,NaN,NaN,NaN,NaN,NaN,0.101374270224451,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.75,1,NaN,std,2.5
Acanthisitta_chloris,691.322259265154,0.694633925523697,0.0192573837972236,468.947886217643,7322.0880256794,7.95464609731443e-13,957.867466104551,NaN,5445.4115444769,10406.5784834044,0.0192040225147229,0.95,0.8,0.1,Acanthisittidae,Passeriformes,Aves,Chordata,Cfb,TAz,0iTf,Tnwfm Tntfm,,biCii,Dg,O,4.08289982189395,NaN,NaN,NaN,NaN,443.899619700011,NaN,NaN,NaN,2.91879201994528,8.75637605983584,1,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,0.135165693632601,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.75,1,NaN,std,2.5
Acanthiza_chrysorrhoa,1687.78370110258,0.849557689416477,0.0245903226579585,1035.45489350982,7322.73084663188,1.06173564173379e-11,785.933495951334,NaN,4654.67080147681,9867.69633029728,0.0423649751987386,0.95,0.8,0.1,Acanthizidae,Passeriformes,Aves,Chordata,BWh BSh Cfb Cfc,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.5725373441572,NaN,NaN,NaN,NaN,399.50965773001,NaN,NaN,NaN,2.31071034912335,6.93213104737004,3,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,0.157693309238035,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.75,1,NaN,std,2.5
Acanthiza_inornata,1345.40624801806,0.827538585924025,0.024382399824582,852.881975649937,7321.44124597781,1.0016584289724e-11,1091.74370505721,NaN,4776.3019530093,9525.93213087384,0.0350997264614548,0.95,0.8,0.1,Acanthizidae,Passeriformes,Aves,Chordata,BSk Csa Csb,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.87875483079925,NaN,NaN,NaN,NaN,399.50965773001,NaN,NaN,NaN,2.12828584787677,6.3848575436303,3,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,0.135165693632601,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.75,1,NaN,std,2.5
Acanthochaenus_luetkenii,415.863993388467,0.88633,0.026331,172.2879,5226.5825,8.749e-07,0.1123,NaN,NaN,1349,0.002,0.95,0.8,0.1,Stephanoberycidae,Beryciformes,Actinopterygii,Chordata,MA MB MC,MC,0jMp jiMpb,Mp,Mo,bjPz jiCi jiCvf,D,O,NaN,NaN,NaN,NaN,NaN,26109.919766054,NaN,NaN,NaN,NaN,NaN,0.0007,NaN,NaN,NaN,43.9,NaN,NaN,NaN,7,15.2,1.63156380340107,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,275.15,1,NaN,std,2.5
Acanthochromis_polyacanthus,34.3478896013338,0.985753362643187,0.0197147442749959,25.6151785377076,5221.36904521767,4.40814381152407e-10,0.249348258333793,12.5608217452908,NaN,1546.11888162611,0.002,0.95,0.8,0.1,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MA,MPW,0iMc 0iMr,Mnm,,biCi,D,O,8.09963612898101,NaN,NaN,NaN,NaN,2217.27539030855,NaN,NaN,NaN,NaN,NaN,0.0044,NaN,NaN,9.8,152,NaN,NaN,NaN,6.5,16,5.95325238249414,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,300.65,1,NaN,abj,2.5
Acanthoclinus_littoreus,48.4231239626638,0.722664479689546,0.023423,20.0066226326892,5227.37540849199,1.93633153270476e-08,0.723206772445609,4.6373011316062,NaN,20902.6808899326,0.002,0.95,0.68,0.1,Plesiopidae,OvalentariaIncSed,Actinopterygii,Chordata,MB,MPSW,0jMp jiMcd,Mnm,Mo,bjPz jiCi jiCvf,D,O,20.5529027084842,NaN,NaN,NaN,NaN,4233.58985447173,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,10.1,49,NaN,NaN,NaN,12,20,66.7612440210513,NaN,NaN,NaN,1,1,0,1,0,1,1,1,0.2,290.45,1,NaN,abj,3.5
Acanthocobitis_mooreh,13.8742865036981,0.89506,0.021154,19.0869,5223.7384,5.897e-10,0.06225,0.7364,NaN,567.3,0.0022607,0.95,0.8,0.1,Nemacheilidae,Cypriniformes,Actinopterygii,Chordata,Af,TPi,0iFm 0iFp,Fh,Mp,biCi,D,O,NaN,NaN,NaN,NaN,NaN,1427.01493117148,NaN,NaN,NaN,NaN,NaN,0.000113,NaN,NaN,0.82,3.5,NaN,NaN,NaN,3.7,6,33.6366487494251,NaN,NaN,NaN,1,1,1,1,1,1,1,1,0.2,300.15,1,NaN,abj,2.5
Acanthocybium_solandri,408.529333719137,0.980209955645107,0.0339942935940501,51.2594183276962,5220.44495338145,4.85802466808776e-09,0.0176704767127382,1.14849855076979,NaN,358173.079240831,0.002,0.95,0.8,0.1,Scombridae,Scombriformes,Actinopterygii,Chordata,MA MB,MC,0jMp jiMr,Mp,Mo,bjPz jiCi jiCvf,D,O,2.17663996533398,NaN,NaN,NaN,NaN,2269.92453527687,NaN,NaN,NaN,NaN,NaN,0.0006,NaN,NaN,6000,112600,NaN,NaN,NaN,99.3,250,26432.5967967396,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,297.85,1,NaN,abj,2.5
Acanthocyclops_robustus,18.4517515571525,0.91982,0.011912,1391.0573,4447.5726,1.683e-05,6.14e-05,0.001071,NaN,0.01236,0.002,0.95,0.8,0.1,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Cfb Dfb Dfc,TH,0iFp 0iFl 0iFm,Fbf,,biP biCi,D,O,NaN,NaN,NaN,NaN,NaN,84.340706546802,NaN,NaN,13.4306684022534,NaN,NaN,2.9e-07,1.92352941176471e-06,NaN,1.95294117647059e-05,1.95294117647059e-05,0.012,0.037,NaN,0.147,0.147,32.6058449424298,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.17,293.15,1,NaN,abp,2.6
Acanthodactylus_boskianus,159.036174771394,0.472184935538998,0.0227054330271443,59.6713703797311,7828.01281614557,2.76240156403433e-08,853.287944262657,NaN,NaN,15629.8817082981,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,B,THp,0iTh 0iTf,Tv,,bpCvr biCvm biSv,Dg,O Apa,207.130024444862,NaN,NaN,NaN,NaN,5274.59015737498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.02,2.9,NaN,NaN,5.5,6.945,0.0170629370841564,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,288.15,1,NaN,std,2.5
Acanthodactylus_erythrurus,98.0901587220837,0.78628,0.024034,49.282,7827.0006,1.812e-07,492.7,NaN,NaN,4660,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,BSk Csa,THp,0iTg,Tt,,biCi,Dg,O,NaN,NaN,NaN,NaN,NaN,461.920419574917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14,2.95,NaN,NaN,5.5,7.5,0.0303082509599457,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,298.15,1,NaN,std,2.8
Acanthodactylus_harranensis,86.1320215448692,0.538529900656913,0.0274437576050952,25.6214967755257,7833.87353511253,2.39695822833859e-08,882.37360972424,NaN,NaN,10260.8427188572,0.002,0.95,0.8,0.1,Lacertidae,Squamata,Reptilia,Chordata,BSk,THp,0iTd 0iTa,Tt,,bpCvr biCvm biSv,Dg,O Apa,207.130024444862,NaN,NaN,NaN,NaN,5860.65573041664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,2.9,NaN,NaN,5.5,8.98,0.0170629370841564,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,288.15,1,NaN,std,2.2
Acanthogobius_flavimanus,2908.05656946672,0.852165754872462,0.0215177414318969,1339.58178498647,5230.46191397477,1.61591035012263e-07,0.0953830180492349,NaN,NaN,10199.9192909543,0.002,0.95,0.8,0.1,Gobiidae,Gobiiformes,Actinopterygii,Chordata,MC,MPNW,0iMm 0iFr,Mnm,Ma,biCi biCvf,Dg,O,59.3370467329978,NaN,NaN,NaN,NaN,2049.78531662169,NaN,NaN,NaN,NaN,NaN,0.0023,NaN,NaN,24,193,NaN,NaN,NaN,15,30,81.2280186855928,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,291.05,1,NaN,std,2.5
Acanthopagrus_arabicus,112.802903199148,0.826942039653112,0.019444,15.2787847656476,5237.34654505542,1.41118197881211e-09,0.109482999716459,0.305283452506532,NaN,100132.925532215,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,2.85924188480351,NaN,NaN,NaN,NaN,2656.4956420629,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,173,1500,NaN,NaN,NaN,20,42,5270.10087211297,NaN,NaN,NaN,1,1,0,1,0,1,1,1,0.2,300.35,1,NaN,abj,1.8
Acanthopagrus_australis,161.562353543332,0.775757976927768,0.0177311091728167,16.2730472518014,5229.34254535395,3.8167805024078e-09,0.112309170073589,0.361240434853011,NaN,158179.584160525,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MPSW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,3.5755606850725,NaN,NaN,NaN,NaN,3322.02092740372,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,NaN,4300,NaN,NaN,NaN,24,66,12642.9065071617,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,297.85,1,NaN,abj,2.5
Acanthopagrus_berda,325.432974938016,0.93169,0.044806,27.3158,5226.948,1.646e-09,0.0272,0.02721,NaN,42040,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA,MI,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,0.963883647529878,NaN,NaN,NaN,NaN,3031.04334700165,NaN,NaN,NaN,NaN,248.978560646564,0.00022,NaN,NaN,NaN,3200,0.18,NaN,NaN,20,90,NaN,NaN,0.05,NaN,1,1,1,1,0,1,1,1,0.2,298.87,1,NaN,abj,1.8
Acanthopagrus_bifasciatus,123.461789885396,0.9511,0.021124,20.6566,5238.799,2.668e-10,0.02619,0.04946,NaN,59870,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MIW,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,4029.19817302812,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,314,818,NaN,NaN,NaN,26.4,36.2,NaN,NaN,0.05,NaN,1,1,1,1,0,1,1,1,0.2,300.75,1,NaN,abj,2.1
Acanthopagrus_butcheri,254.980194230156,0.53277,0.027548,17.1748,5228.4481,2.028e-09,0.3297,0.7487,NaN,104200,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MB,MIS,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,13259.3346825641,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,58,3200,NaN,NaN,NaN,16,60,6561.41519034166,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,290.75,1,NaN,abj,2.1
Acanthopagrus_latus,397.769314292278,0.52238,0.029954,39.592,5215.9072,2.807e-09,0.2695,0.7014,NaN,1023000,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MB,MPE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,1677.7447954986,NaN,NaN,NaN,NaN,NaN,0.00022,NaN,NaN,371,896,NaN,NaN,NaN,29.7,40,NaN,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,300.55,1,NaN,abj,2.5
Acanthopagrus_schlegelii,200.862748425637,0.95753,0.024366,28.717,5229.065,1.177e-08,0.01842,0.06795,NaN,13000,0.002,0.95,0.8,0.1,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MPSE,0jMp jiMd,Mp,Mo,bjPz jiCi,Hsm,O,NaN,NaN,NaN,NaN,NaN,2337.82527793085,NaN,NaN,NaN,NaN,259.758364214539,0.00022,NaN,NaN,NaN,3200,NaN,NaN,NaN,20,50,NaN,NaN,0.05,NaN,1,1,1,1,0,1,1,1,0.2,296.85,1,NaN,abj,2.1
Acanthophis_antarcticus,190.342192204097,0.92074,0.020553,18.4435,7844.7338,5.045e-09,1744,NaN,NaN,17100,0.002,0.95,0.8,0.1,Elapidae,Squamata,Reptilia,Chordata,BWh BWk BSh Cfa Cfb,TA,biTf biTh biTg,Tv,,biCv,Dg,O,NaN,NaN,NaN,NaN,NaN,1573.30002740555,NaN,NaN,NaN,NaN,NaN,5.84,NaN,NaN,NaN,NaN,15,NaN,NaN,30,100,0.120587298477873,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,301.65,1,NaN,std,2.6
Acanthurus_bahianus,16.1990821196325,0.96111,0.019014,17.4518,5218.0037,1.376e-11,0.03255,3.019,NaN,1806,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MA,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,5657.20180931483,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,8.4,76.4,NaN,NaN,NaN,8,17,NaN,NaN,0.09,NaN,1,1,1,1,0,1,1,1,0.2,301.15,1,NaN,abj,2.4
Acanthurus_leucosternon,148.148844863958,0.92435,0.021324,18.2275,5222.1355,4.307e-11,0.03086,0.07232,NaN,9191,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,8314.78271365706,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,45.7,2500,NaN,NaN,NaN,13.8,54,5953.25238249414,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,300.65,1,NaN,abj,2.4
Acanthurus_lineatus,57.205423176663,0.96019,0.020062,18.3118,5229.9,1.628e-11,0.02423,1.096,NaN,44510,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,7955.44004434898,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,260,1943,NaN,NaN,NaN,18,38,3620.16429505463,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,301.15,1,NaN,abj,2.2
Acanthurus_nigricans,54.9796039954588,0.96009,0.022005,22.3904,5219.1526,3.108e-11,0.02484,1.192,NaN,23460,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,6338.14700521692,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,125,955,NaN,NaN,NaN,18,36,NaN,NaN,0.09,NaN,1,1,1,1,0,1,1,1,0.2,300.55,1,NaN,abj,2.2
Acanthurus_nigricauda,137.529949622325,0.9532,0.021202,21.8006,5225.8199,2.885e-11,0.01922,0.06685,NaN,18430,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,7679.99010517926,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,126,1800,NaN,NaN,NaN,18.4,45.3,3750.00483146166,NaN,NaN,NaN,1,1,0,0,0,1,1,1,0.2,301.55,1,NaN,abj,2.4
Acanthurus_nigrofuscus,32.3298042236726,0.95604,0.019323,19.3991,5230.1851,5.69e-11,0.03176,1.205,NaN,9242,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,4538.32995237718,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,39.3,206,NaN,NaN,NaN,12,21,NaN,NaN,0.09,NaN,1,1,1,1,0,1,1,1,0.2,300.85,1,NaN,abj,2.2
Acanthurus_olivaceus,57.8384700487542,0.96607,0.02056,20.0043,5226.8005,3.141e-11,0.0206,1.18,NaN,9305,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MIE MPW,0jMp jiMr,Mp,,bjPz jiHa,D,O,NaN,NaN,NaN,NaN,NaN,6187.5644789381,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,68,2003,NaN,NaN,NaN,11.55,35,3733.29442927509,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,301.15,1,NaN,abj,2.2
Acanthurus_triostegus,85.4898845290119,0.98856,0.024757,58.4655,5227.1839,6.959e-12,0.005593,0.4521,NaN,729.6,0.002,0.95,0.8,0.1,Acanthuridae,Acanthuriformes,Actinopterygii,Chordata,MA,MI MPW,0jMp jiMr,Mp,,bjPz jiHa biCi,D,O,NaN,NaN,NaN,NaN,NaN,8241.54171755751,NaN,NaN,NaN,NaN,NaN,0.000157,NaN,NaN,15,414,NaN,NaN,NaN,8.8,27,747.357134269947,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,300.75,1,NaN,abj,2.5
Acarichthys_heckelii,5520.09810198778,0.962805079126427,0.0208009350296727,3184.64588321196,5230.02366013221,9.45157757959663e-09,0.0105271287780477,NaN,NaN,5935.60691894478,0.002,0.95,0.8,0.1,Cichlidae,Cichliformes,Actinopterygii,Chordata,A,TN,biFr,Fnf,Mp,biPz,D,O,1.98582346516608,NaN,NaN,NaN,NaN,1449.65112957124,NaN,NaN,NaN,NaN,604.021303988018,0.0018,NaN,NaN,47,276,NaN,NaN,NaN,12,20,143.960154097023,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,297.65,1,NaN,std,2.5
Accipiter_cooperii,4740.23651719438,0.971195585467274,0.027138642329303,1742.90104648425,7324.28391370111,1.10365081275539e-12,461.727681903037,NaN,3253.71863029212,9263.18395860804,0.0708549616232163,0.95,0.8,0.1,Accipitridae,Accipitriformes,Aves,Chordata,BW BS Csa Cfa Dfa,THn,0iTh 0iTi 0iTf,Tnpf,Ms,biCi biCv,Dg,O,4.49118980408334,NaN,NaN,NaN,NaN,1042.87048366738,NaN,NaN,NaN,3.51869385136441,10.5560815540932,22,NaN,NaN,NaN,518,NaN,NaN,NaN,NaN,NaN,0.0778620176442716,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,313.15,1,NaN,std,2.5
